,https://roic.ai/company/APH,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
67,Total Stockholders Equity,27600000,229300000,149700000,173300000,278600000,344100000,360500000,-343100000,-292300000,-81200000,29234000,103933000,166982000,323406000,481604000,689235000,902994000,1264914000,1349425000,1746077000,2320855000,2171769000,2429959000,2859509000,2907400000,3238500000,3674900000,3989800000,4017000000,4530300000,5384900000,6360000000
68,Total Liabilities And Stockholders Equity,542100000,695200000,766400000,691300000,677100000,689900000,710700000,737200000,807400000,836400000,1004322000,1026743000,1078908000,1181384000,1306711000,1932540000,2195397000,2675733000,2994159000,3202443000,3993997000,4432208000,5203240000,6147465000,6996500000,7418500000,8450500000,9950300000,9997700000,10749600000,12260300000,14659000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16741000,21860000,13017000,12223000,20563000,30500000,39900000,48200000,53600000,47200000,65900000,67000000,19000000
70,Total Liabilities & Equity,542100000,695200000,766400000,691300000,677100000,689900000,710700000,737200000,807400000,836400000,1004322000,1026743000,1078908000,1181384000,1306711000,1932540000,2195397000,2675733000,2994159000,3219184000,4015857000,4445225000,5215463000,6168028000,7027000000,7458400000,8498700000,10003900000,10044900000,10815500000,12327300000,14678000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/820313/000104746904003700/0001047469-04-003700-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465905011114/0001104659-05-011114-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465906016969/0001104659-06-016969-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465907012769/0001104659-07-012769-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465908012896/0001104659-08-012896-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465909011495/0001104659-09-011495-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465910008799/0001104659-10-008799-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465911010845/0001104659-11-010845-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465912012448/0001104659-12-012448-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465913013180/0001104659-13-013180-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465914012225/0001104659-14-012225-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465915012575/0001104659-15-012575-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465916098503/0001104659-16-098503-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000155837017000659/0001558370-17-000659-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000155837018000871/0001558370-18-000871-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000155837019000636/0001558370-19-000636-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000155837020000728/0001558370-20-000728-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000155837021000881/0001558370-21-000881-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000155837022000961/0001558370-22-000961-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-6500000,8600000,24700000,38300000,62900000,67600000,26700000,36500000,35600000,107904000,83710000,80344000,103990000,163311000,206339000,255691000,353194000,419151000,317834000,496405000,524191000,555317000,635672000,709100000,763500000,822900000,650500000,1205000000,1155000000,1203400000,2398000000
74,Depreciation and Amortization,- -,29900000,26000000,28600000,28800000,28400000,29500000,34300000,38000000,42800000,45079000,48891000,36238000,38480000,40257000,51642000,73124000,82348000,91302000,98524000,102846000,119439000,121779000,136482000,168100000,171600000,217000000,226800000,299700000,312100000,308100000,395000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,-625000,11168000,1344000,1800000,-2541000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186300000,-12000000,15200000,30800000,-29000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16316000,20240000,25385000,28679000,31412000,36070000,41400000,44200000,47600000,49700000,55600000,63000000,70500000,83000000
77,Change in Working Capital,- -,-14400000,9200000,-54400000,-1600000,25700000,15600000,600000,26000000,25800000,-19169000,-3274000,-13607000,80457000,17736000,122441000,113062000,216381000,-2295000,216204000,419904000,201682000,279579000,-270712000,910811000,383100000,-885600000,1120600000,-956300000,-41800000,1108000000,324500000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1419000,96588000,-157657000,-9664000,-123870000,-37046000,-111500000,-22300000,-165900000,-146500000,-237900000,117300000,-146300000,-398000000
79,Inventory,- -,-5900000,-8600000,8700000,13500000,-1800000,-10800000,-17700000,-9200000,-9800000,-4402000,-2793000,12897000,4647000,-14511000,-20636000,-81878000,-22724000,-47570000,76332000,-65179000,-88486000,-45934000,-7997000,-51600000,-5200000,-14200000,-100400000,-173300000,-3400000,-102000000,-263000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2699000,-31709000,76932000,-27547000,99416000,6908000,66800000,-17500000,47800000,140500000,48800000,-60200000,204300000,131000000
81,Other Working Capital,- -,142400000,151600000,97200000,95600000,121300000,136900000,137500000,163500000,189300000,170131000,166857000,153250000,233707000,251443000,373884000,486946000,703327000,701032000,917236000,1337140000,1538822000,1818401000,1547689000,2458500000,2841600000,1956000000,3076600000,2120300000,2078500000,3186500000,3511000000
82,Other Non-Cash Items,- -,1400000,-20300000,57600000,23400000,-37800000,-44500000,24700000,-47400000,-40100000,20339000,-10477000,29213000,-74691000,-14397000,-152598000,-149739000,-264024000,-42951000,-70505000,-619647000,-308784000,-313408000,231538000,-948511000,-331900000,875700000,-1089700000,520700000,-1200000,-1128800000,-1648500000
83,Cash Provided by Operating Activities,- -,10400000,23500000,56500000,88900000,79200000,68200000,86300000,53200000,64100000,154153000,118850000,131563000,159404000,208251000,229624000,289597000,387899000,481523000,582297000,424893000,565207000,674679000,769050000,880900000,1030500000,1077600000,1144200000,1112700000,1502300000,1592000000,1523000000
84,CAPEX,- -,-10000000,-6700000,-6000000,-10900000,-20400000,-20300000,-28100000,-59000000,-23500000,-53105000,-38555000,-18816000,-30196000,-44341000,-57121000,-82421000,-103772000,-108280000,-63058000,-109458000,-100222000,-129099000,-158448000,-209100000,-172100000,-190800000,-226600000,-310600000,-295000000,-276800000,-360000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67716000,-60518000,-33796000,- -,-41661000,-512307000,-22473000,-179300000,-135807000,-280014000,-180402000,-303273000,-251523000,-484907000,-518200000,-199800000,-1305100000,-265500000,-158900000,-937400000,-50400000,-2225000000
