,https://roic.ai/company/PTC,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
61,Total Liabilities,8200000,5900000,8900000,28500000,29900000,44900000,82800000,146800000,187600000,505400000,495500000,396341000,398136000,385031000,382532000,424431000,462779000,457345000,495806000,647048000,588631000,559760000,806992000,994375000,902426000,1346065000,1349742000,1509587000,1474948000,1454433000,1462590000,1944490000,2469092000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,2761000,2761000,2626000,2664000,2695000,2751000,1119000,1147000,1157000,1160000,1158000,1169000,1196000,1185000,1150000,1137000,1150000,1153000,1180000,1149000,1161000,1172000
64,Retained Earnings,-300000,-100000,15700000,36700000,79700000,143700000,212500000,306600000,419300000,-1157600000,-1022400000,-1036456000,-1045096000,-1323517000,-1421963000,-1387150000,-1303558000,-1242692000,-1132565000,-1060050000,-1028528000,-1004160000,-918736000,-954134000,-810365000,-650171000,-602614000,-657079000,-650840000,-599409000,-191390000,-62267000,414656000
65,Other Comprehensive Income/Loss,-800000,-1400000,-2000000,-2100000,-4500000,-9100000,-18100000,-30300000,-46600000,-68800000,-102700000,-94363000,-103607000,-130916000,-162140000,-144577000,-49000000,-43000000,-34000000,-17000000,-34000000,-52000000,-65000000,-73000000,-51000000,-94000000,-92000000,-100000000,-74000000,-86000000,-111000000,-103000000,-95864000
66,Other Total Stockholders Equity,1000000,30300000,28300000,44100000,71600000,107500000,176500000,236100000,272100000,1553800000,1643500000,1656600000,1545644000,1741735000,1776597000,1770983000,1673651000,1722672000,1759925000,1778418000,1822949000,1802306000,1805257000,1823197000,1786660000,1596910000,1553648000,1598595000,1609123000,1558818000,1503239000,1602354000,1718504000
67,Total Stockholders Equity,-100000,28800000,42000000,78700000,146800000,242100000,370900000,512400000,644800000,327400000,521100000,528542000,399702000,289928000,195158000,241951000,323844000,438099000,594507000,702525000,761581000,747304000,822690000,797259000,926480000,853889000,860171000,842666000,885436000,874589000,1201998000,1438248000,2038468000
68,Total Liabilities And Stockholders Equity,8100000,34700000,50900000,107200000,176700000,287000000,453700000,659200000,832400000,832800000,1016600000,924883000,797838000,674959000,577690000,666382000,786623000,895444000,1090313000,1349573000,1350212000,1307064000,1629682000,1791634000,1828906000,2199954000,2209913000,2352253000,2360384000,2329022000,2664588000,3382738000,4507560000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,8100000,34700000,50900000,107200000,176700000,287000000,453700000,659200000,832400000,832800000,1016600000,924883000,797838000,674959000,577690000,666382000,786623000,895444000,1090313000,1349573000,1350212000,1307064000,1629682000,1791634000,1828906000,2199954000,2209913000,2352253000,2360384000,2329022000,2664588000,3382738000,4507560000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/857005/000095010995005433/0000950109-95-005433-index.html,https://www.sec.gov/Archives/edgar/data/857005/000092701696002061/0000927016-96-002061-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/857005/000092701603000282/d10k.htm,https://www.sec.gov/Archives/edgar/data/857005/000119312503099084/d10k.htm,https://www.sec.gov/Archives/edgar/data/857005/000119312504212702/d10k.htm,https://www.sec.gov/Archives/edgar/data/857005/000119312505242673/d10k.htm,https://www.sec.gov/Archives/edgar/data/857005/000119312506253501/d10k.htm,https://www.sec.gov/Archives/edgar/data/857005/000095013507007240/0000950135-07-007240-index.html,https://www.sec.gov/Archives/edgar/data/857005/000119312508244400/0001193125-08-244400-index.html,https://www.sec.gov/Archives/edgar/data/857005/000119312509241507/0001193125-09-241507-index.html,https://www.sec.gov/Archives/edgar/data/857005/000119312510267323/0001193125-10-267323-index.html,https://www.sec.gov/Archives/edgar/data/857005/000119312511320097/0001193125-11-320097-index.html,https://www.sec.gov/Archives/edgar/data/857005/000085700512000031/0000857005-12-000031-index.html,https://www.sec.gov/Archives/edgar/data/857005/000085700513000038/0000857005-13-000038-index.html,https://www.sec.gov/Archives/edgar/data/857005/000085700514000032/0000857005-14-000032-index.html,https://www.sec.gov/Archives/edgar/data/857005/000085700515000042/0000857005-15-000042-index.html,https://www.sec.gov/Archives/edgar/data/857005/000085700516000071/0000857005-16-000071-index.html,https://www.sec.gov/Archives/edgar/data/857005/000085700517000021/0000857005-17-000021-index.html,https://www.sec.gov/Archives/edgar/data/857005/000085700518000025/0000857005-18-000025-index.html,https://www.sec.gov/Archives/edgar/data/857005/000085700519000040/0000857005-19-000040-index.html,https://www.sec.gov/Archives/edgar/data/857005/000156459020054803/0001564590-20-054803-index.htm,https://www.sec.gov/Archives/edgar/data/857005/000156459021057806/0001564590-21-057806-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,5600000,10300000,21100000,42900000,66900000,77400000,137900000,219200000,86700000,119300000,-3980000,-8214000,-93621000,-98280000,34813000,83592000,60866000,143656000,79702000,31522000,24368000,85424000,-35398000,143769000,160194000,47557000,-54465000,6239000,51987000,-27460000,130695000,476923000
74,Depreciation and Amortization,- -,700000,1000000,1800000,3300000,5200000,9500000,16800000,22400000,29900000,62300000,78769000,76370000,72625000,41637000,35157000,25881000,33887000,39199000,60021000,61610000,62182000,18319000,66471000,76551000,77307000,84433000,86554000,86742000,87408000,77824000,119504000,122534000
75,Deferred Income Tax,- -,1300000,- -,200000,-500000,-400000,-10600000,-6400000,2200000,5500000,-16900000,-4838000,-15039000,54174000,42000,399000,-5989000,-402000,- -,-2740000,-55414000,21998000,- -,104766000,-39714000,-19946000,-49361000,-44182000,-28289000,-56556000,1708000,-24641000,-158105000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43328000,48911000,45402000,51305000,48787000,50889000,50182000,65996000,76708000,82939000,86400000,115149000,177289000
77,Change in Working Capital,- -,-3000000,12400000,31200000,64100000,90400000,91000000,98400000,87800000,-329600000,73600000,18181000,-110029000,28836000,-66302000,71489000,-111110000,12447000,72877000,-133148000,23894000,60228000,7610000,274535000,-245805000,-46103000,-18081000,-99349000,-423000,-89142000,245961000,8221000,-179622000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55347000,-531000,-32334000,32309000,17308000,7554000,29723000,52617000,12832000,20396000,29446000,-32365000,-119418000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4828000,-436000,31134000,-14185000,20315000,5251000,16200000,-5135000,- -
81,Other Working Capital,- -,28600000,41000000,72200000,136300000,226700000,317700000,416100000,503900000,174300000,247900000,266081000,156052000,184888000,118586000,190075000,78965000,91412000,164289000,31141000,55035000,115263000,122873000,397408000,151603000,105500000,87419000,-11930000,-12353000,-101495000,144466000,152687000,-63965000
82,Other Non-Cash Items,- -,100000,-14900000,-26300000,-77500000,-79500000,-48300000,-17000000,-65300000,401000000,-87500000,-36281000,107991000,-84628000,129398000,-40522000,135765000,-41634000,-128358000,218405000,-35264000,-61043000,-78057000,-243704000,241095000,82211000,65173000,228614000,-6387000,171175000,-99288000,-115120000,-70210000
