,https://roic.ai/company/IT,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,- -,- -,- -,2500000,3200000,3200000,255300000,340806000,346006000,- -,50385000,201948000,237261000,209592000,239700000,321972000,204571000,287450000,276951000,244604000,262343000,527962000,983594000,846208000,3477123000,2729782000,3356167000,3278045000,3666486000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115840000,165374000,909049000,864161000,787520000
61,Total Liabilities,- -,- -,- -,293900000,375400000,418000000,728900000,928145000,873520000,- -,541518000,731146000,880029000,1013475000,1115712000,1114381000,1102744000,1098602000,1198088000,1314604000,1422266000,1743180000,2307086000,2306457000,6299708000,5350717000,6212701000,6225539000,7045266000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,100000,59000,59000,- -,72000,75000,77000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,82000,82000,82000,82000,82000
64,Retained Earnings,- -,- -,- -,32000000,105100000,193500000,156700000,182286000,116083000,- -,173936000,190089000,187652000,249004000,322557000,426428000,509392000,605677000,742579000,908482000,1091283000,1275049000,1450684000,1644005000,1647284000,1755432000,1988722000,2255467000,3049027000
65,Other Comprehensive Income/Loss,- -,- -,- -,-36100000,-57700000,-59200000,-78900000,-97662000,-105572000,- -,-316000,5169000,-332000,10889000,23255000,-1741000,11322000,14638000,5793000,5968000,8345000,-21170000,-44402000,-49683000,1508000,-39867000,-77938000,-99228000,-81431000
66,Other Total Stockholders Equity,- -,- -,- -,154300000,222500000,280600000,- -,- -,- -,- -,- -,-65285000,-40809000,-233653000,-328392000,-446081000,-408257000,-433337000,-566666000,-607855000,-738390000,-1092786000,-1538760000,-1533522000,-665409000,-864890000,-972273000,-1065893000,-2596620000
67,Total Stockholders Equity,- -,- -,- -,150200000,269900000,414900000,74500000,74820000,-34518000,- -,375746000,130048000,146588000,26318000,17498000,-21316000,112535000,187056000,181784000,306673000,361316000,161171000,-132400000,60878000,983465000,850757000,938593000,1090428000,371058000
