,https://roic.ai/company/VSAT,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
66,Other Total Stockholders Equity,2900000,19500000,22400000,24700000,28890000,111060000,174854000,154293000,159344000,163807000,177876000,232662000,254862000,271372000,533942000,583144000,624332000,681391000,727094000,786467000,855387000,1439645000,1535635000,1656819000,1788456000,2092595000
67,Total Stockholders Equity,5200000,23600000,29600000,36800000,45997000,133158000,192353000,183887000,202475000,226283000,263298000,348795000,404140000,458748000,753005000,840125000,887975000,903001000,941012000,1038582000,1129103000,1734618000,1837166000,1907748000,2027787000,2351469000
68,Total Liabilities And Stockholders Equity,13300000,35700000,42800000,50000000,61930000,169378000,238667000,236703000,272675000,301783000,364233000,483895000,551140000,622948000,1293505000,1405725000,1727175000,1794101000,1960112000,2158378000,2400525000,2951340000,3403268000,3906957000,4861513000,5313702000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,452000,25000,17000,836000,5000,-40000,-48000,95000,-25000,25000,-1000,-12000,- -,5321000,3313000,10841000,8330000,22355000,35765000
70,Total Liabilities & Equity,13300000,35700000,42800000,50000000,61930000,169378000,238667000,237155000,272700000,301800000,365069000,483900000,551100000,622900000,1293600000,1405700000,1727200000,1794100000,1960100000,2158378000,2405846000,2954653000,3414109000,3915287000,4883868000,5349467000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/797721/000093639297000848/0000936392-97-000848-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/797721/000093639202000787/0000936392-02-000787-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000093639203000908/0000936392-03-000908-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000093639204000647/0000936392-04-000647-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000093639205000139/0000936392-05-000139-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000093639206000591/0000936392-06-000591-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000093639207000476/0000936392-07-000476-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000093639208000395/0000936392-08-000395-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000093639209000293/0000936392-09-000293-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000095012310054366/0000950123-10-054366-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000095012311054646/0000950123-11-054646-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000119312512249227/0001193125-12-249227-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000119312513234043/0001193125-13-234043-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000119312514211759/0001193125-14-211759-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000119312515199042/0001193125-15-199042-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000119312516604149/0001193125-16-604149-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000119312517182146/0001193125-17-182146-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000156459018014641/0001564590-18-014641-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000156459019020649/0001564590-19-020649-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000156459020027420/0001564590-20-027420-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000156459021030718/0001564590-21-030718-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1600000,3200000,5300000,6300000,7906000,10265000,2157000,-9632000,13200000,19300000,23515000,30200000,33500000,38300000,31100000,36100000,7500000,-41200000,-9400000,40363000,21741000,23767000,-67305000,-67623000,-212000,3691000
74,Depreciation and Amortization,1000000,1400000,2200000,2900000,3292000,9065000,14163000,19287000,20729000,20125000,21896000,26855000,28041000,28610000,46955000,103053000,125511000,157171000,185064000,221433000,242076000,245922000,255652000,318613000,342178000,397102000
75,Deferred Income Tax,-400000,-700000,-800000,-1100000,843000,-270000,-1568000,-5767000,-94000,-3353000,-5405000,-10337000,488000,-5285000,4229000,-4098000,-13330000,-50728000,-27182000,12420000,-5003000,-218000,-36558000,-43813000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9837000,12212000,17440000,21382000,27035000,33639000,39353000,47510000,55775000,68545000,79599000,86553000,84879000
77,Change in Working Capital,-1800000,15900000,3800000,7000000,6869000,46165000,-876000,-9182000,33524000,31100000,14007000,34593000,60700000,-44800000,11100000,-47000000,159700000,-29400000,-41000000,-33386000,19931000,45994000,-143243000,255596000,39433000,-158329000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9103000,-1117000,-14138000,-21026000,-57124000,-9219000,3745000,-26342000,16071000,-12439000,-46108000,-44807000,84411000
79,Inventory,-1000000,-3300000,-200000,2200000,-597000,-15593000,-4975000,-10000,-198000,-6249000,-12824000,5239000,-13976000,-5338000,-9367000,-14030000,-25271000,21233000,-11422000,-1217000,-26749000,-12386000,-37562000,-36593000,-58997000,-42460000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1740000,2965000,6644000,7679000,4564000,-7404000,862000,5250000,972000,32503000,-5714000,28175000,-24363000
81,Other Working Capital,4600000,20500000,24300000,31300000,38169000,84334000,83458000,74276000,107800000,138900000,152907000,187500000,248200000,203400000,214500000,167500000,327200000,297800000,256800000,223414000,243345000,289339000,146096000,401692000,441125000,282796000
82,Other Non-Cash Items,100000,-21000000,-10600000,-1700000,-15261000,-76198000,-24247000,20657000,-38762000,-63589000,-1848000,-14570000,-74426000,35280000,6950000,64122000,-159314000,28920000,64019000,69333000,-29318000,40058000,281542000,-214821000,-31016000,399872000
83,Cash Provided by Operating Activities,500000,-1200000,-100000,13400000,3649000,-10973000,-10371000,15363000,28597000,3583000,52165000,66741000,48303000,61942000,112546000,169617000,141449000,91798000,205140000,349516000,296937000,411298000,358633000,327551000,436936000,727215000
84,CAPEX,-1900000,-3700000,-4100000,-2500000,-4826000,-7468000,-15617000,-12242000,-8532000,-11279000,-23734000,-15452000,-25347000,-125222000,-148339000,-224271000,-229022000,-201565000,-352086000,-419178000,-450625000,-585658000,-584487000,-686820000,-761078000,-885271000
85,Acquisitions Net,- -,- -,- -,- -,- -,-57904000,-20787000,- -,- -,- -,-15994000,-7687000,-9826000,-925000,-377987000,-13456000,- -,- -,-2400000,-57376000,-4402000,-156906000,- -,-2339000,- -,- -
86,Purchases of Investments,- -,- -,-5900000,-8900000,- -,- -,-156000,-2000,-2000,-2000,-2000,- -,-11835000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,14667000,121000,- -,- -,- -,- -,- -,117000,11835000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-2787000,-7033000,- -,- -,- -,- -,- -,-8028000,-6498000,-15986000,-24049000,-25270000,-44461000,-52686000,-73989000,-43407000,-72853000,149775000,-64835000,-58030000
89,Cash Used for Investing Activites,-1900000,-3700000,-10000000,-11400000,9841000,-65251000,-39347000,-19277000,-8534000,-11281000,-39730000,-23022000,-35173000,-126147000,-519028000,-237727000,-229022000,-201565000,-354486000,-476554000,-456285000,-715005000,-584487000,-489419000,-758801000,-885271000
