,https://roic.ai/company/PFSW,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
71,SEC Link,undefined,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1095315/000095013403005023/0000950134-03-005023-index.html,https://www.sec.gov/Archives/edgar/data/1095315/000095013404004345/0000950134-04-004345-index.html,https://www.sec.gov/Archives/edgar/data/1095315/000095013405006568/0000950134-05-006568-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000095013406006427/0000950134-06-006427-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000095013407007281/0000950134-07-007281-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000095013408005735/0000950134-08-005735-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000095013409006620/0000950134-09-006620-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000095012310030919/0000950123-10-030919-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000095012311031470/0000950123-11-031470-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000119312512144018/0001193125-12-144018-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000119312513136642/0001193125-13-136642-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000156459014001224/0001564590-14-001224-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000156459015001893/0001564590-15-001893-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000156459016014831/0001564590-16-014831-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000156459017004610/0001564590-17-004610-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000156459018006047/0001564590-18-006047-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000156459019008334/0001564590-19-008334-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000109531520000020/0001095315-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000109531521000034/0001095315-21-000034-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,300000,-5939000,-10756000,-11400000,-3746000,226000,-747000,-14530000,-1384000,-15655000,-4570000,-7369000,-4566000,-1511000,-5891000,-4626000,-7861000,-7530000,-3964000,1228000,-2170000,-5504000
74,Depreciation and Amortization,- -,- -,300000,2373000,6658000,5851000,4497000,4643000,6112000,7476000,8180000,6622000,6852000,6060000,6344000,9248000,10210000,11675000,14831000,15377000,14899000,11367000,10367000,8666000
75,Deferred Income Tax,- -,- -,-200000,453000,109000,-54000,-134000,-81000,-8000,-148000,84000,-293000,-65000,-33000,70000,-18000,29000,-841000,58000,823000,-274000,244000,476000,403000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,547000,407000,809000,1402000,1325000,2574000,3059000,4637000,2111000,3333000,4032000,3027000,10785000
77,Change in Working Capital,- -,- -,-13000000,14700000,13274000,-12064000,5497000,1201000,751000,-2656000,1804000,-1136000,-2043000,3313000,-2247000,-5024000,11040000,-8623000,-5358000,6142000,-4868000,9244000,-8676000,9753000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3020000,4982000,-2984000,-11500000,7315000,-9273000,-2743000,-5632000,-8931000,10595000,-1525000,-894000,-7328000
79,Inventory,- -,- -,-18600000,29856000,- -,-8120000,2527000,-318000,-825000,2856000,2261000,-3243000,8799000,-2709000,3394000,5650000,10456000,3407000,1070000,2578000,1266000,-890000,2811000,-315000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3264000,-3636000,5798000,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,14700000,27974000,15910000,21407000,22608000,23359000,20703000,22507000,21371000,19328000,22641000,20394000,15370000,26410000,17787000,12429000,18571000,13703000,22947000,14271000,24024000
82,Other Non-Cash Items,- -,- -,300000,-1023000,-9462000,7779000,3221000,-526000,-5352000,12342000,-3285000,19366000,7545000,691000,-1848000,24565000,-11134000,12699000,15666000,-3657000,1925000,-14550000,7835000,-22307000
83,Cash Provided by Operating Activities,- -,- -,-12300000,10564000,-177000,-9888000,9335000,5463000,756000,2484000,5399000,9451000,8126000,3471000,-845000,28585000,6828000,13343000,21973000,13266000,11051000,11565000,10859000,1796000
84,CAPEX,- -,- -,-2700000,-18521000,-5542000,-1762000,-1982000,-7698000,-3918000,-3978000,-3862000,-5754000,-4440000,-3774000,-7550000,-14712000,-7971000,-5445000,-4489000,-8713000,-4652000,-4936000,-3912000,-4196000
