,https://roic.ai/company/ACGL,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,351000000,432486000,581247000,757830000,864359000,298926000,1313701000,2991328000,5585321000,8218754000,11488436000,14312467000,15624267000,14616545000,15375790000,15770792000,17141769000,17816762000,19566094000,22009543000,23177270000,29372109000,32051658000,32218329000,37885361000,2776381000,45100945000
48,Accounts Payable,- -,- -,- -,- -,14666000,- -,- -,- -,- -,- -,- -,- -,- -,138509000,156500000,132452000,133866000,1054274000,1260413000,1528504000,1710416000,2017843000,2301910000,2472218000,2786532000,- -,3415380000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000000,100000000,100000000,100000000,100000000,100000000,100000000,530434000,756650000,816132000,455682000,484287000,155687000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,488895000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,5677000000,8708000000,10422000000,- -,10545491000,10395500000,10625548000,11879134000,11093726000,11658587000,13356383000,13409799000,15854990000,17187998000,17661392000,20761258000,-155687000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,5677000000,8708000000,10422000000,- -,10784000000,10652000000,10858000000,12113000000,12248000000,13019000000,14984887000,15650649000,18629483000,20306040000,20589292000,24032077000,488895000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,200000000,300000000,300000000,300000000,300000000,300000000,517565000,725770000,710486000,300000000,800000000,800000000,791306000,1732258000,1732884000,1733528000,1871626000,- -,2724394000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,3026000,25090000,13182000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000000,-117565000,-325770000,-310486000,100000000,100000000,91141000,530434000,756650000,816132000,455682000,484287000,- -,- -
