,https://roic.ai/company/NHTC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3219000,3938000,3167000
61,Total Liabilities,4300658,11409407,3278022,8469964,6328290,5430268,7039118,15870822,24478000,26702000,21588000,15101000,10839000,8777000,8184000,6932000,6310000,13750000,26090000,67343000,65612000,68933000,68060000,43433000,38245000,38867000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,16330,- -,- -,- -,- -,124000,124000,124000,124000,124000,124000,111000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,12346,758,6231,7990,15761,220938,4239,4656,7000,7000,8000,10000,11000,11000,11000,11000,11000,11000,13000,13000,13000,13000,13000,13000,13000,13000
64,Retained Earnings,-2595123,-11053577,-14369784,-23165664,-35212214,-34278824,-30246914,-28389232,-27799000,-33301000,-44128000,-70989000,-74853000,-81195000,-83643000,-81338000,-78708000,-74619000,-54799000,-9647000,38548000,44908000,44431000,16117000,7822000,-231000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-25857,-79085,-234451,-460937,-926000,-1307000,-2389000,-3112000,-2389000,-2887000,-2912000,-1243000,-1289000,-1042000,-931000,-1123000,-1000000,-1570000,-1000000,-1000000,-336000,-492000
66,Other Total Stockholders Equity,5754402,13448333,17938247,25941609,29484868,31203715,32029150,34321139,65747000,71137000,73484000,83529000,82859000,84037000,83692000,81637000,81771000,81616000,82167000,67566000,44878000,47270000,46417000,59934000,60198000,60198000
67,Total Stockholders Equity,3171625,2395514,3574694,2783935,-5737442,-2933256,1568354,5475626,37029000,36536000,26975000,9562000,5752000,90000,-2728000,-809000,1909000,6077000,26450000,56809000,82439000,90621000,89861000,75064000,67697000,59488000
68,Total Liabilities And Stockholders Equity,7472283,13804921,6852716,11253899,590848,2497012,8607472,21346448,61507000,63238000,48563000,24663000,16591000,8867000,5456000,6123000,8219000,19827000,52540000,124152000,148051000,159554000,157921000,118497000,105942000,98355000
69,Minority Interest,- -,- -,- -,- -,- -,- -,726747,710957,598000,77000,22000,33000,34000,-7000,-93000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7472283,13804921,6852716,11253899,590848,2497012,9334219,22057405,62105000,63315000,48585000,24696000,16625000,8860000,5363000,6123000,8219000,19827000,52540000,124152000,148051000,159554000,157921000,118497000,105942000,98355000
