,https://roic.ai/company/RH,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
88,Other Investing Activites,-44156000,-47212000,-23616000,1527000,-19390000,-9229000,-13380000,-29695000,-14688000,-13282000,- -,-2024000,-39907000,-25593000,-49368000,-93868000,-120062000,-139849000,-181346000,-111758000,-136736000,-122545000,-98977000,-194353000
89,Cash Used for Investing Activites,-44156000,-47212000,-23616000,1527000,-19390000,-9229000,-13380000,-29695000,-14688000,-13282000,- -,-2024000,-39907000,-25593000,-49368000,-93868000,-200548000,-227397000,-321497000,64043000,-136736000,-122545000,-197600000,-194353000
90,Debt Repayment,-12141000,-257000,- -,- -,- -,- -,- -,- -,- -,-780872000,- -,-672933000,-824335000,-1016125000,-1388683000,-1670507000,-837173000,-248000,- -,-512549000,-1128396000,-1008762000,-622201000,- -
91,Common Stock Issued,47595000,2149000,583000,56905000,1770000,1110000,704000,1623000,4894000,830000,- -,- -,- -,- -,97693000,- -,- -,- -,- -,19137000,34522000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1630000,-1000326000,-250000000,-250032000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-315000,37430000,1647000,-43060000,16459000,-3686000,22832000,23775000,9754000,813873000,- -,621878000,875936000,1019495000,1344042000,1682012000,1090973000,287030000,-611000,805325000,1160673000,1083990000,378287000,- -
95,Cash Used/Provided by Financing Activities,35139000,39322000,2230000,13845000,18229000,-2576000,23536000,25398000,14648000,33831000,- -,-51055000,51601000,3370000,53052000,11505000,253800000,286782000,-2241000,-688413000,-183201000,-174804000,-243914000,- -
96,Effect of Forex Changes on Cash,- -,18000,- -,-32000,27000,719000,-451000,-18000,-179000,573000,- -,594000,294000,249000,22000,-123000,-198000,-308000,449000,152000,-130000,16000,157000,- -
97,Net Change In Cash,7289000,-3574000,-2017000,19675000,-20655000,373000,-99000,86000,-529000,-232000,- -,4583000,178000,-4853000,-158000,5035000,135545000,200963000,-244444000,-69116000,-19511000,41855000,52788000,- -
98,Cash at the End of Period,8201000,4627000,2610000,22285000,1630000,2003000,1904000,1990000,1461000,1229000,- -,13186000,13364000,8511000,8354000,13389000,148934000,349897000,87023000,17907000,5803000,47658000,100446000,- -
99,Cash at the Beginning of Period,912000,8201000,4627000,2610000,22285000,1630000,2003000,1904000,1990000,1461000,- -,8603000,13186000,13364000,8512000,8354000,13389000,148934000,331467000,87023000,25314000,5803000,47658000,100446000
100,Free Cash Flow,-22240000,-42322000,-4137000,537000,-38911000,2230000,-23184000,-25294000,-15462000,-34636000,- -,55044000,-51717000,-8472000,-53232000,-6347000,-28321000,8087000,-79121000,442608000,163820000,245565000,389644000,476731000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1528849/000119312513178723/0001193125-13-178723-index.html,https://www.sec.gov/Archives/edgar/data/1528849/000119312514122028/d658284d10k.htm,https://www.sec.gov/Archives/edgar/data/1528849/000119312515109678/d853618d10k.htm,https://www.sec.gov/Archives/edgar/data/1528849/000156459016015660/0001564590-16-015660-index.html,https://www.sec.gov/Archives/edgar/data/1528849/000156459017005503/0001564590-17-005503-index.html,https://www.sec.gov/Archives/edgar/data/1528849/000156459018007158/0001564590-18-007158-index.html,https://www.sec.gov/Archives/edgar/data/1528849/000156459019010132/0001564590-19-010132-index.html,https://www.sec.gov/Archives/edgar/data/1528849/000155837020003383/0001558370-20-003383-index.html,https://www.sec.gov/Archives/edgar/data/1528849/000155837021003728/0001558370-21-003728-index.htm,https://www.sec.gov/Archives/edgar/data/1528849/000155837022004753/0001558370-22-004753-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
