,https://roic.ai/company/CNO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,-589900000,-18200000,-57600000,-31600000,-1062400000,-21300000,36100000,-9200000,-86000000,-80100000,-11400000,-73100000,-156200000,-321100000,152600000,-19500000,-25000000,-102000000,-39800000,-75300000
89,Cash Used for Investing Activites,- -,- -,3412400000,422500000,-1455300000,-1550700000,-1051200000,-1128700000,-629800000,-922700000,-1298600000,-1338000000,-197100000,-602500000,56300000,-1069600000,-742400000,-239600000,-525700000,-555600000,-608400000,-1526100000
90,Debt Repayment,- -,- -,-10481300000,- -,-1332000000,-770400000,-48000000,-7800000,-189500000,-544800000,-168700000,-144800000,-1211300000,-509500000,-519400000,-1375200000,-848400000,-1681300000,-427700000,-1234700000,-501900000,-727800000
91,Common Stock Issued,- -,- -,- -,- -,1811100000,500000,1000000,3400000,- -,296300000,- -,2200000,3100000,15100000,5000000,6300000,8400000,8300000,3900000,9200000,19000000,21500000
92,Common Stock Repurchased,- -,- -,- -,- -,-1857800000,- -,- -,-87200000,- -,- -,- -,-69800000,-180200000,-118400000,-376500000,-361500000,-206700000,-168300000,-108000000,-254500000,-268300000,-407800000
93,Dividends Paid,- -,- -,-86200000,- -,-19300000,-38000000,-38000000,-19000000,- -,- -,- -,- -,-13900000,-24400000,-51000000,-52000000,-54800000,-59600000,-64800000,-67100000,-67000000,-65700000
94,Other Financing Activites,- -,- -,4070900000,-1597800000,1353600000,657700000,353100000,557600000,365100000,156100000,781800000,639700000,1111000000,635800000,676400000,1928800000,1131000000,1626900000,703800000,1404100000,1028300000,1847400000
95,Cash Used/Provided by Financing Activities,- -,- -,-6496600000,-1597800000,-44400000,-150200000,268100000,447000000,175600000,-92400000,613100000,427300000,-291300000,-1400000,-265500000,146400000,29500000,-274000000,107200000,-143000000,210100000,667600000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-1788500000,11100000,-452100000,-538800000,148100000,21600000,532600000,-371100000,48500000,-135900000,146500000,116500000,-87400000,-179300000,46600000,99500000,-100700000,-1900000,337200000,-260200000
98,Cash at the End of Period,- -,- -,1217600000,2391100000,776600000,237800000,385900000,407500000,894500000,523400000,571900000,436000000,582500000,699000000,611600000,432300000,478900000,578400000,656600000,654700000,991900000,731700000
99,Cash at the Beginning of Period,- -,- -,3006100000,2380000000,1228700000,776600000,237800000,385900000,361900000,894500000,523400000,571900000,436000000,582500000,699000000,611600000,432300000,478900000,757300000,656600000,654700000,991900000
100,Free Cash Flow,- -,- -,1295700000,1186400000,1047600000,1162100000,931200000,703300000,986800000,644000000,734000000,774800000,634900000,720400000,121800000,743900000,759500000,613100000,317800000,696700000,735500000,598300000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1224608/000122460809000012/0001224608-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/1224608/000122460810000008/0001224608-10-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460811000009/0001224608-11-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460812000011/0001224608-12-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460813000017/0001224608-13-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460814000006/0001224608-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460815000007/0001224608-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460816000053/0001224608-16-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460817000013/0001224608-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460818000011/0001224608-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460819000010/0001224608-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460820000009/0001224608-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460821000008/0001224608-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460822000012/0001224608-22-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
