,https://roic.ai/company/AJRD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
61,Total Liabilities,1122300000,1071000000,1205000000,1266000000,1115000000,878000000,900000000,918000000,929000000,1462000000,1423000000,1274000000,1151000000,1399000000,1150000000,1129000000,1154000000,1276000000,1479000000,1354000000,1130000000,1117400000,1047200000,1040800000,1230800000,1191700000,1151100000,1308100000,1705500000,2092500000,2180400000,2213900000,2156300000,2068800000,2131100000,2666400000,1900100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,4000000,4000000,4000000,4000000,5000000,6000000,5600000,5700000,5700000,5900000,5900000,5900000,9800000,6100000,7500000,7400000,8000000,7400000,7700000,7700000,7700000,8000000
64,Retained Earnings,714900000,779000000,-101000000,-45000000,145000000,189000000,202000000,205000000,229000000,-16000000,2000000,24000000,139000000,198000000,93000000,217000000,331000000,356000000,373000000,-28000000,-258000000,-296400000,-227400000,-216800000,-157900000,-182200000,-179300000,-181900000,-14000000,-67000000,-86800000,-61800000,-71000000,103900000,244900000,-65200000,91900000
65,Other Comprehensive Income/Loss,-874900000,-925000000,-479000000,-521000000,-569000000,-605000000,-659000000,-721000000,-756000000,-728000000,-759000000,-689000000,-711000000,-738000000,-543000000,-574000000,-477000000,-13000000,32000000,-3000000,-2000000,-394500000,169700000,176000000,-353800000,-281200000,-299400000,-486300000,-222400000,-334200000,-341700000,-303000000,-272600000,-239400000,-236500000,-227600000,-101000000
66,Other Total Stockholders Equity,1110500000,1194000000,483000000,530000000,579000000,616000000,670000000,729000000,762000000,737000000,792000000,721000000,853000000,884000000,526000000,548000000,452000000,13000000,19000000,167000000,181000000,589300000,- -,- -,210700000,257300000,261200000,269600000,280100000,222800000,275600000,392400000,438600000,549100000,560600000,518600000,534600000
67,Total Stockholders Equity,950500000,1048000000,-97000000,-36000000,155000000,200000000,213000000,213000000,235000000,-7000000,35000000,56000000,281000000,344000000,80000000,195000000,310000000,360000000,428000000,141000000,-73000000,-96000000,-52000000,-35100000,-295100000,-200200000,-211600000,-388800000,49800000,-170900000,-145500000,35600000,102400000,421300000,576700000,233500000,533500000
68,Total Liabilities And Stockholders Equity,2072800000,2119000000,1108000000,1230000000,1270000000,1078000000,1113000000,1131000000,1164000000,1455000000,1458000000,1330000000,1432000000,1743000000,1230000000,1324000000,1464000000,1636000000,1907000000,1495000000,1057000000,1021400000,995200000,1005700000,935700000,991500000,939500000,919300000,1755300000,1921600000,2034900000,2249500000,2258700000,2490100000,2707800000,2899900000,2433600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2072800000,2119000000,1108000000,1230000000,1270000000,1078000000,1113000000,1131000000,1164000000,1455000000,1458000000,1330000000,1432000000,1743000000,1230000000,1324000000,1464000000,1636000000,1907000000,1495000000,1057000000,1021400000,995200000,1005700000,935700000,991500000,939500000,919300000,1755300000,1921600000,2034900000,2249500000,2258700000,2490100000,2707800000,2899900000,2433600000
