,https://roic.ai/company/KEP,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
70,Total Liabilities & Equity,- -,- -,- -,- -,70508530225137,75217356250000,71156106000000,74162086564860,73861405790054,82975523584148,88198610000000,93208031000000,99610398000000,136467850000000,146152820000000,155527334000000,163708289000000,175257359000000,177837042000000,181788915000000,185249061000000,197597792000000,203142111000000,211074000000000
71,SEC Link,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/887225/000119312504111982/0001193125-04-111982-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000114554905001178/0001145549-05-001178-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312506139957/0001193125-06-139957-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312507146365/0001193125-07-146365-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312508143573/0001193125-08-143573-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312509136517/0001193125-09-136517-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312510149420/0001193125-10-149420-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312511178441/0001193125-11-178441-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312512196272/0001193125-12-196272-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312513187044/0001193125-13-187044-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312514171889/0001193125-14-171889-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312515160568/0001193125-15-160568-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312516566345/0001193125-16-566345-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312517145220/0001193125-17-145220-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312518141125/0001193125-18-141125-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312519127526/0001193125-19-127526-index.htm,https://www.sec.gov/Archives/edgar/data/887225/000119312520125462/0001193125-20-125462-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,3047950176900,2436477500000,2784776000000,2389327471590,2122837747478,1427264047970,-2955339000000,-96716000000,-72156000000,-3292997000000,-3166616000000,60011000000,2686873000000,13289127000000,7048581000000,1298720000000,-1314567000000,-2345517000000,1991347000000,-5341000000000
74,Depreciation and Amortization,- -,- -,- -,- -,5161884933002,5336342500000,5263885000000,5802937945430,5479264597925,5833213495512,6233033000000,6318534000000,6415199000000,6877390000000,6996710000000,7392375000000,7873459000000,8341384000000,8960988000000,9773711000000,10024794000000,11128740000000,11548019000000,11938272000000
75,Deferred Income Tax,- -,- -,- -,- -,220925266829,8632500000,-25762000000,101928649980,-175370353410,-87860487078,-1540780000000,282931000000,119858000000,- -,-985377000000,-570794000000,1430339000000,5239413000000,3365141000000,2172824000000,-826321000000,-1002303000000,899064000000,-1855989000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,709508896556,-652416250000,-204805000000,-1080243829690,-616033884406,-1293679778024,-1204957000000,-2028906000000,-2098296000000,-984485000000,-1446507000000,-701347000000,-521327000000,-2281916000000,-2179666000000,-2614168000000,-3045181000000,-3127408000000,-1219387000000,24961000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-393518000000,-223644000000,-481419000000,-1021781000000,-781099000000,-330494000000,96294000000,715498000000,200529000000,-218328000000,246755000000,95345000000,-107639000000,-216734000000
79,Inventory,- -,- -,- -,- -,-7128113877,-45842500000,-542895000000,-499650245000,-596016142961,-762361424837,-1779959000000,-672328000000,-842584000000,-1411785000000,-672979000000,-1206676000000,-1146221000000,-1190188000000,-1439545000000,-1373438000000,-1771550000000,-980216000000,-723495000000,-1738000000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,842973000000,-349903000000,210622000000,710831000000,154341000000,-40416000000,-257614000000,-1577551000000,141994000000,342126000000,478744000000,-546159000000,-262985000000,2144561000000
81,Other Working Capital,- -,- -,- -,- -,700725978409,-481577500000,- -,-270810432790,-53024039580,-163740637051,100134000000,91484000000,-1163321000000,-316362000000,-26209000000,-320489000000,-628449000000,-918794000000,-1451722000000,-1283623000000,-957794000000,-1257849000000,333329000000,40435000000
82,Other Non-Cash Items,- -,- -,- -,- -,-383600237118,1565685000000,55567000000,337763565620,631294240964,1108675095983,1429333000000,1262648000000,1273558000000,1544821000000,2518623000000,703662000000,576348000000,-7644903000000,-674492000000,618807000000,1841407000000,3559916000000,-10570000000,-293059000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,8756669036169,8694721250000,7873661000000,7551713802930,7441992348551,6987612374364,1961290000000,5738491000000,5638163000000,4144729000000,3916833000000,6883907000000,12045692000000,16943105000000,16520552000000,11249894000000,6680132000000,8213428000000,13208473000000,4473185000000
84,CAPEX,- -,- -,- -,- -,-6652727162625,-7111990000000,-6073356000000,-6721295095740,-7185290495343,-8549605823369,-9285226000000,-11493642000000,-10873170000000,-10653001000000,-11514549000000,-14328057000000,-14616123000000,-14137833000000,-12153211000000,-12679845000000,-12377457000000,-14229785000000,-13401665000000,-12781634000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-170918539688,- -,- -,- -,-65147000000,-385751000000,-363241000000,28324000000,-95024000000,-62824000000,-196211000000,-315667000000,-262132000000,-336672000000,-732037000000
86,Purchases of Investments,- -,- -,- -,- -,-20001186233,-140735000000,-200846000000,-766463475830,-62729530547,-970518728649,-164014000000,-752164000000,-1360666000000,- -,-637620000000,-545992000000,-975104000000,-5326151000000,-8130621000000,-4786717000000,-2841651000000,-2165342000000,-9203450000000,-5893404000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,650711743551,57756250000,181836000000,136904167130,52659451628,48396067518,1428440000000,97906000000,1210000000,- -,650757000000,610847000000,1060117000000,242856000000,10876017000000,5296680000000,2419259000000,2783474000000,8020406000000,7023674000000
88,Other Investing Activites,- -,- -,- -,- -,630081850320,511856250000,708856000000,742480264070,165201809132,1086233148370,517243000000,886551000000,1284509000000,-520144000000,100252000000,54164000000,-26171000000,9454236000000,-299653000000,-384493000000,-9372000000,145001000000,-30801000000,-84027000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-5391934754988,-6683112500000,-5383510000000,-6608374140370,-7030158765130,-8556413875818,-7142953000000,-11011672000000,-10888680000000,-11195693000000,-11719196000000,-14503272000000,-14460333000000,-9773970000000,-9645870000000,-12606699000000,-13014301000000,-13499358000000,-14831811000000,-12354328000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4681712000000,-6558394000000,-5997758000000,-6017090000000,-6017704000000,-7441673000000,-8234857000000,-9070746000000,-7868262000000,-8321801000000,-8230044000000,-7641727000000,-8590635000000,-9932393000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,59021535706,- -,- -,- -,- -,- -,- -,852962000000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-188883750000,- -,- -,-706749753908,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-329641755523,-536468750000,-650783000000,-722494254270,-703894258485,-642000937691,-492286000000,-45920000000,-32498000000,-44663000000,-55254000000,-58267000000,-203448000000,-426339000000,-2104884000000,-1356243000000,-617049000000,-112741000000,-94683000000,-825544000000
