,https://roic.ai/company/OIBRQ,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,122437493,281237497,-11617689,-505386573,98865777,-303480985,431347173,797287000,800051000,-1142689000,1971023000,1005731000,1784890000,1493015000,-4407711000,-9159343000,-6944000000,-3736518000,27369422000,-9000434000,-10529963000
74,Depreciation and Amortization,- -,- -,2483561244,- -,2847172801,2839841094,2810719801,2683393858,2723046828,2794545000,2435860000,1980544000,1056740000,1044226000,3228100000,4278477000,4535418000,6195039000,6310619000,5881302000,5952905000,6873945000,4341705000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-319593325,- -,-92584620,-621813000,- -,- -,- -,- -,- -,- -,- -,2598351000,1532299000,-1257068000,-231433000,-3617919000,-391461000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,-541092525,- -,-637886183,-696592560,529699369,-253675649,-1400327450,-646086000,-897429000,-625304000,-1598244000,-1323771000,-4184632000,-2964066000,-3822980000,-4344150000,-1163115000,967537000,-2938172000,-828284000,2246584000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-490488000,-410050000,-331653000,-430742000,-274193000,-1723305000,556009000,-1057184000,-1622343000,-390361000,-253469000,-365771000,-306240000,1307673000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,18825710,90998000,31453000,11985000,11614000,8102000,-234494000,-53696000,-38721000,74776000,- -,- -,- -,-21113000,-51982000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51722000,-185429000,-760098000,-250056000,-221347000,117271000,-585813000,-374003000,-860900000,-678046000,105315000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-504026271,-601806428,-103600000,-589820000,-112546000,-1410998000,-1025125000,-1609376000,-5188354000,-2575009000,-1730802000,-1703819000,1463480000,-1369855000,577456000,1150301000
82,Other Non-Cash Items,- -,- -,163740063,-281237497,108169820,830074950,204878957,297587471,858111603,136876000,796315000,3024500000,1986207000,1113115000,3030576000,4227886000,9225842000,3656432000,3364517000,2546505000,-27290186000,8884330000,8739838000
83,Cash Provided by Operating Activities,- -,- -,2228646274,- -,2305838748,2467936911,3324570580,2423824695,2519593533,2460809000,3134797000,3237051000,3415726000,1839301000,3858934000,7035312000,5530569000,-1053671000,3100320000,4401758000,2862536000,2311638000,4406703000
84,CAPEX,- -,- -,-2246010045,- -,-1824568361,-1334754656,-2306340462,-1954318915,-1501194700,- -,-1317712000,-1398252000,-754515000,-883611000,-5329827000,-5976488000,-5370351000,-3681484000,-3263571000,-4344238000,-5246241000,-7425513000,-3455136000
85,Acquisitions Net,- -,- -,-1436934388,- -,- -,-143932476,-61404989,- -,- -,- -,- -,- -,- -,- -,-35032000,-50732000,1087904000,17218275000,- -,- -,- -,- -,-175788000
86,Purchases of Investments,- -,- -,- -,- -,-15532730,-53984416,-12305433,-71555769,-88999888,-1956631000,- -,- -,- -,- -,-250186000,- -,1087904000,-10045000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,228063034,- -,- -,- -,- -,- -,- -,499000,382800000,179916000,2308000,- -,- -,- -,4461702000,14996000,- -,- -,- -,106097000,4276844000
88,Other Investing Activites,- -,- -,12169263,- -,24414139,-104056541,-367378141,3483805,-271885220,-103108000,-2141442000,-3167804000,-808234000,-1205275000,-824148000,-743085000,-5570064000,-998723000,-3917416000,-4421656000,-4916875000,468738000,-3789594000
89,Cash Used for Investing Activites,- -,- -,-3442712135,- -,-1815686952,-1636728089,-2747429024,-2022390879,-1862079808,-2059240000,-1758642000,-2987888000,-1560441000,-2088886000,-6439193000,-6770305000,-4302905000,12543019000,-3917416000,-4421656000,-4916875000,-6850678000,-3143674000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-958135000,-1442715000,-770887000,-1279033000,-1095808000,-4980381000,-3567958000,-5053939000,-11308213000,-6223703000,-659000,-161884000,-1623097000,-607864000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8230606000,- -,- -,- -,- -,4000000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-21851309,-32885168,-37564374,-62232153,- -,-62272000,- -,- -,- -,- -,-3164136000,- -,- -,- -,- -,-300429000,- -,-2572000,- -
93,Dividends Paid,- -,- -,-190244918,- -,-189670635,-267963049,-208145887,-571369718,-323696440,-571611000,-352019000,-274764000,-1345000,-462223000,-2405419000,-1280162000,-5172000,-57608000,-37806000,-59462000,-54000,-437000,- -
94,Other Financing Activites,- -,- -,1351517506,- -,812905504,-487668744,600859993,-435141731,475747955,522722000,601028000,757014000,924589000,4476742000,11524385000,2549339000,-4345996000,9009135000,142292000,-331225000,-262406000,-138238000,1407494000
95,Cash Used/Provided by Financing Activities,- -,- -,1161272589,- -,601383560,-788516961,355149733,-1068743603,152051515,-1069296000,-1193706000,-288637000,-355789000,2918711000,974449000,-2298781000,-1174501000,-2356686000,-6119217000,-691775000,-424344000,2235656000,799630000
96,Effect of Forex Changes on Cash,- -,- -,-158820490,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118443000,14346000,50443000,-28787000,3316195000,-398499000,11106000,1328000,- -,205014000
97,Net Change In Cash,- -,- -,-211615712,- -,1091535355,42691860,932291288,-667309787,809563108,-667727000,182449000,238883000,1499496000,2787569000,-1591464000,-1983331000,24376000,12448857000,-7334812000,-700567000,-2477355000,-2303384000,2025996000
98,Cash at the End of Period,- -,- -,836223976,- -,1422897906,1459844087,2398443961,1729004055,2535465730,1730083000,583992000,1717441000,3216937000,6004506000,4413042000,2424830000,2449206000,14898063000,7563251000,6862684000,4385329000,2081945000,4107941000
99,Cash at the Beginning of Period,- -,- -,1047839688,- -,331362550,1417152226,1466152672,2396313842,1725902623,2397810000,401543000,1478558000,1717441000,3216937000,6004506000,4408161000,2424830000,2449206000,14898063000,7563251000,6862684000,4385329000,2081945000
100,Free Cash Flow,- -,- -,-17363770,- -,481270387,1133182254,1018230119,469505779,1018398833,2460809000,1817085000,1838799000,2661211000,955690000,-1470893000,1058824000,160218000,-4735155000,-163251000,57520000,-2383705000,-5113875000,951567000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1160846/000116084604000040/0001160846-04-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000129281405000757/0001292814-05-000757-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000129281406001767/0001292814-06-001767-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000129281407001383/0001292814-07-001383-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000129281408000656/0001292814-08-000656-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312509148208/0001193125-09-148208-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312510151837/0001193125-10-151837-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312511119254/0001193125-11-119254-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312512191656/0001193125-12-191656-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312513187787/0001193125-13-187787-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312514094078/0001193125-14-094078-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312515175172/0001193125-15-175172-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312516596449/0001193125-16-596449-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1160846/000119312518165452/0001193125-18-165452-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312519123081/0001193125-19-123081-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312520128888/0001193125-20-128888-index.htm,- -
102,Forex Rate,undefined,undefined,0.5128,0.4327,0.2825,0.3458,0.3765,0.4277,0.4681,0.5618,0.432,0.5737,0.6025,0.5366,0.4879,0.4233,0.3762,0.2524,0.3071,0.3019,0.2576,0.2488,0.1925
