,https://roic.ai/company/XOM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,8520000000,9745000000,9855000000,9877000000,9989000000,13981000000,13100000000,13616000000,18965000000,17721000000,20462000000,20217000000,28858000000,27644000000,34678000000,35593000000,39821000000,46863000000,52498000000,47543000000,53288000000,50467000000,47098000000,46448000000,44051000000,49378000000,48590000000,43004000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,28786000000,29954000000,30566000000,30379000000,27661000000,38634000000,36822000000,37074000000,42104000000,42595000000,46567000000,47315000000,56354000000,57726000000,61429000000,65870000000,87198000000,92803000000,97996000000,94589000000,103796000000,105972000000,108846000000,96420000000,90530000000,99670000000,112257000000,106597000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,431000000,375000000,375000000,1238000000,1225000000,1327000000,1303000000,1670000000,1680000000,1761000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,48279000000,48690000000,50071000000,50033000000,47073000000,77367000000,75013000000,67188000000,75279000000,80981000000,89548000000,93622000000,105171000000,116038000000,110529000000,117931000000,149831000000,170308000000,162135000000,166313000000,168429000000,159948000000,156484000000,154191000000,147668000000,163659000000,168620000000,163240000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2323000000,3403000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9653000000,10077000000,10792000000,11612000000,12157000000,14656000000,15258000000,15637000000,15688000000,15746000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,50821000000,53539000000,57156000000,52214000000,54575000000,75055000000,86652000000,95718000000,100961000000,115956000000,134390000000,163335000000,195207000000,228518000000,265680000000,276937000000,298899000000,330939000000,365727000000,387432000000,408384000000,412444000000,407831000000,414540000000,421653000000,421341000000,383943000000,392059000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52901000000,-56891000000,-59759000000,-61364000000,-63049000000,-95169000000,-97917000000,-100901000000,-6504000000,-1148000000,513000000,-2545000000,-2762000000,1989000000,-9931000000,-5461000000,-4823000000,-9123000000,-12184000000,-10725000000,-18957000000,-23511000000,-22239000000,-16262000000,-19564000000,-19493000000,-16705000000,-13764000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,41663000000,45958000000,48059000000,55181000000,51708000000,83865000000,85252000000,81169000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-212781000000,-225820000000,-229734000000,-230424000000,-225246000000,-225553000000,-225835000000,-225776000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,39583000000,42606000000,45456000000,46031000000,45557000000,67154000000,73987000000,75986000000,74597000000,89915000000,101756000000,111186000000,113844000000,121762000000,112965000000,110569000000,146839000000,154396000000,165863000000,174003000000,174399000000,170811000000,167325000000,187688000000,191794000000,191650000000,157150000000,168577000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,87862000000,91296000000,95527000000,96064000000,92630000000,144521000000,149000000000,143174000000,149876000000,170896000000,191304000000,204808000000,219015000000,237800000000,223494000000,228500000000,296670000000,324704000000,327998000000,340316000000,342828000000,330759000000,323809000000,341879000000,339462000000,355309000000,325770000000,331817000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2768000000,3382000000,3952000000,3527000000,- -,4282000000,4558000000,4823000000,5840000000,6348000000,5797000000,6492000000,6665000000,5999000000,6505000000,6812000000,6734000000,7288000000,6980000000,7106000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,87862000000,91296000000,95527000000,96064000000,92630000000,144521000000,149000000000,143174000000,152644000000,174278000000,195256000000,208335000000,219015000000,242082000000,228052000000,233323000000,302510000000,331052000000,333795000000,346808000000,349493000000,336758000000,330314000000,348691000000,346196000000,362597000000,332750000000,338923000000
