,https://roic.ai/company/OPCH,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,-7600000,-3100000,-16400000,12896000,11334000,10926000,20801000,14343000,3294000,-6422000,-29862000,24187000,-8746000,22745000,-21419000,26969000,26884000,-54553000,-31416000,-64742000,-42769000,-763000,-20104000,39467000,127392000,208569000
84,CAPEX,-900000,-1600000,-2200000,-2180000,-6634000,-2632000,-2101000,-961000,-1058000,-5129000,-5436000,-5526000,-7463000,-5739000,-11114000,-9444000,-10986000,-25626000,-13829000,-11544000,-9642000,-8680000,-13875000,-28292000,-26875000,-25632000
85,Acquisitions Net,- -,- -,- -,- -,-19638000,-2186000,-34851000,- -,-14256000,- -,-13097000,- -,- -,- -,- -,- -,-13587000,-274381000,398000,- -,-63339000,- -,360000,-700170000,- -,-85909000
86,Purchases of Investments,-37000000,-29800000,-28900000,-7070000,-4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,41900000,39800000,13731000,9033000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,852000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1000000,400000,-900000,-1914000,-1323000,1164000,3687000,-20000,-1764000,8250000,125000,- -,- -,- -,-97433000,-9907000,118453000,-2363000,56836000,24565000,- -,-4950000,- -,636000,541000,- -
89,Cash Used for Investing Activites,-38900000,10900000,7800000,2567000,-22562000,-3654000,-33265000,-981000,-17078000,3121000,-18408000,-5526000,-7463000,-5739000,-108547000,-9907000,93880000,-302370000,44257000,13021000,-72981000,-13630000,-13515000,-727826000,-26334000,-111541000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1351022000,-180439000,-1793693000,-1311150000,-652758000,-452306000,-194058000,-77623000,-293705000,-1873000,-228813000,-183250000,-919177000
91,Common Stock Issued,46800000,100000,- -,5000,333000,7274000,1680000,622000,876000,1776000,- -,1867000,465000,3015000,4116000,3198000,- -,118382000,- -,- -,83267000,20777000,- -,- -,118934000,- -
92,Common Stock Repurchased,- -,- -,- -,-338000,- -,-2596000,- -,-5068000,- -,- -,- -,-1397000,-889000,-119000,-128000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
