,https://roic.ai/company/EVRI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-9750000,-1035000,-1600000,-10762000,-1350000,-30000,308000,19000,-87000,- -,-12531000,-13990000,-17847000,-74692000,-87360000,-109979000,-123350000,-131337000,-79118000,-135912000
89,Cash Used for Investing Activites,- -,-9750000,-7047000,-4861000,-17860000,-17061000,-10960000,-58708000,-7235000,-24492000,-18183000,-12531000,-13990000,-1085847000,-85549000,-88054000,-109979000,-123350000,-166337000,-94118000,-151912000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-16000000,-41000000,-248750000,-52500000,-18500000,-103000000,-360000000,-24400000,-1154700000,-8200000,-58700000,-138744000,-1146756000
91,Common Stock Issued,- -,- -,- -,- -,131177000,1488000,1287000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122376000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-40379000,-9487000,-61338000,-33474000,-190000,-262000,-18350000,-12180000,-169000,-42000,-110000,-123000,-1060000,-1288000,-9354000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-56812000,-52333000,-63067000,-43950000,-164365000,-48249000,-10623000,2270000,2913000,5629000,207713000,5979000,7667000,1152603000,335618000,-480000,1177204000,8334000,14997000,155098000,967751000
95,Cash Used/Provided by Financing Activities,-56812000,-52333000,-63067000,-43950000,-33188000,-46761000,-49715000,-7217000,-74425000,-68845000,-41227000,-46783000,-29183000,1037423000,-24551000,-24922000,22394000,11000,77613000,15066000,-188359000
96,Effect of Forex Changes on Cash,- -,- -,2482000,-247000,11000,-461000,-1055000,686000,-1683000,307000,57000,-689000,73000,-1266000,-1552000,-1714000,1292000,-1370000,1263000,-1388000,18000
97,Net Change In Cash,- -,- -,-34161000,26154000,-14454000,5796000,30144000,6085000,7620000,-24132000,-5101000,97485000,-38766000,-25159000,12935000,17021000,9535000,169577000,-2571000,-44261000,51377000
98,Cash at the End of Period,- -,- -,23423000,49577000,35123000,40919000,71063000,77148000,84768000,60636000,55535000,153020000,114254000,89095000,102030000,119051000,128586000,299181000,296610000,252349000,303726000
99,Cash at the Beginning of Period,- -,- -,57584000,23423000,49577000,35123000,40919000,71063000,77148000,84768000,60636000,55535000,153020000,114254000,89095000,102030000,119051000,129604000,299181000,296610000,252349000
100,Free Cash Flow,73610000,81964000,26424000,71951000,29485000,54368000,80944000,63189000,83747000,59847000,46832000,143834000,-9652000,6510000,44786000,50970000,-662000,191255000,-29401000,-40250000,286922000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1318568/000136231007000366/0001362310-07-000366-index.htm,https://www.sec.gov/Archives/edgar/data/1318568/000136231008001487/0001362310-08-001487-index.htm,https://www.sec.gov/Archives/edgar/data/1318568/000136231009003458/0001362310-09-003458-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000095012310024786/0000950123-10-024786-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000095012311025240/0000950123-11-025240-index.htm,https://www.sec.gov/Archives/edgar/data/1318568/000104746912002471/0001047469-12-002471-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000104746913002599/0001047469-13-002599-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000104746914002144/0001047469-14-002144-index.htm,https://www.sec.gov/Archives/edgar/data/1318568/000104746915002295/a2223630z10-k.htm,https://www.sec.gov/Archives/edgar/data/1318568/000155837016004171/0001558370-16-004171-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000155837017001764/0001558370-17-001764-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000156459018005916/0001564590-18-005916-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000131856819000020/0001318568-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000131856820000017/0001318568-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/1318568/000131856821000035/0001318568-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1318568/000131856822000035/0001318568-22-000035-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
