,https://roic.ai/company/TBI,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1524000,-3592000,-8683000,23261000,- -,-10569000,2855000,6921000,-6561000,16425000
81,Other Working Capital,12259895,37200000,49800000,71100000,97700000,94159000,80743000,119454000,- -,184550000,218700000,238400000,115000000,147500000,163300000,207577000,168300000,203600000,235100000,228600000,314989000,- -,215860000,204301000,190927000,109918000,-56364000
82,Other Non-Cash Items,1084526,-34740105,-8500000,-29800000,-52100000,29668000,51761000,-17796000,- -,-48212000,-137000,4756000,152327000,36698000,-17863000,-51092000,17160000,-46475000,-15372000,-64863000,-143686000,- -,-51096000,18501000,-4749000,361028000,18971000
83,Cash Provided by Operating Activities,-3707979,-7100000,11300000,13400000,-4100000,39118000,56944000,41734000,- -,63721000,105442000,108151000,98654000,92438000,33605000,41973000,30589000,52323000,86068000,47525000,72072000,- -,99851000,125692000,93531000,152531000,20440000
84,CAPEX,-2471001,-5700000,-4000000,-9500000,-12400000,-18421000,-6537000,-2516000,- -,-5247000,-5260000,-13007000,-21040000,-26137000,-13153000,-7050000,-9707000,-17826000,-13003000,-16918000,-18394000,- -,-21958000,-17054000,-28119000,-27066000,-35006000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9890000,-45963000,- -,-76902000,-22390000,- -,- -,- -,- -,-77560000,-305876000,-67500000,- -,- -,-12155000,215000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-28253000,- -,-15379000,-124317000,-88266000,-191032000,-27158000,- -,- -,-88173000,-33778000,-40800000,-25057000,-51516000,- -,-50601000,-12941000,-22963000,-32495000,-9411000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,6980000,- -,28639000,84014000,90301000,271580000,38087000,- -,- -,9238000,18116000,20050000,44167000,1500000,- -,20157000,21635000,28254000,27561000,23935000
88,Other Investing Activites,-2471001,-5300000,-900000,300000,-1800000,85000,-27739000,-62204000,- -,-17958000,-24373000,9162000,11067000,-13974000,-16748000,-3403000,51997000,-10489000,-26955000,-31671000,12490000,- -,-453000,-17054000,-27137000,-29477000,-30744000
