,https://roic.ai/company/ATSG,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,1098236000,1296100000,1220623000,1174008000,413106000,472923000,516043000,679798000,1162967000,1101349000,1002773000,900654000,993719000,1035611000,1033139000,1031629000,1042263000,1259330000,1548844000,2470585000,2820178000,3001745000,3267335000
48,Accounts Payable,- -,- -,- -,52338000,43355000,62635000,78068000,65313000,76425000,36618000,38174000,40558000,48360000,36521000,34818000,40608000,44417000,60704000,99728000,109843000,141094000,141425000,174237000
49,Short-Term Debt,- -,- -,- -,28907000,16376000,20660000,23313000,11413000,22815000,61858000,51737000,36591000,13223000,21265000,23721000,24344000,33865000,29306000,18512000,29654000,27564000,31530000,19411000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,14813000,15340000,10794000,12487000,10311000,8733000,12914000,12963000,18407000,15850000,19082000,17566000,53522000,47381000
52,Other Current Liabilities,- -,- -,- -,52001000,53409000,59274000,60888000,67552000,96872000,145118000,79465000,36289000,33517000,31419000,32858000,33834000,35561000,47368000,50582000,70555000,77015000,75511000,71602000
53,Total Current Liabilities,- -,- -,- -,133246000,113140000,142569000,162269000,144278000,196112000,258407000,184716000,124232000,107587000,99516000,100130000,111700000,126806000,155785000,184672000,229134000,263239000,301988000,312631000
54,Long-Term Debt,- -,- -,- -,107077000,181810000,173856000,164572000,189118000,567987000,450628000,325690000,265937000,333681000,343216000,360794000,319750000,284335000,429415000,551605000,1371598000,1469677000,1465331000,1343122000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,174089000,- -,- -,- -,- -,- -,- -,50044000,39746000,42530000,46422000,109869000,102993000,96858000,122532000,99444000,113243000,127476000,141265000,217291000
57,Other Non-Current Liabilities,- -,- -,- -,527274000,59490000,68549000,76123000,226192000,198865000,311922000,196341000,168662000,239774000,247201000,93378000,149697000,170107000,219696000,317844000,320172000,499444000,237664000,71914000
