,https://roic.ai/company/OII,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/73756/000095012904001083/h13268e10vk.htm,https://www.sec.gov/Archives/edgar/data/73756/000095012905002449/h23415e10vk.htm,https://www.sec.gov/Archives/edgar/data/73756/000095012906002636/h33938e10vk.htm,https://www.sec.gov/Archives/edgar/data/73756/000095012907001045/h44064e10vk.htm,https://www.sec.gov/Archives/edgar/data/73756/000095012908001240/h54295e10vk.htm,https://www.sec.gov/Archives/edgar/data/73756/000095012909000581/0000950129-09-000581-index.html,https://www.sec.gov/Archives/edgar/data/73756/000119312510038885/0001193125-10-038885-index.html,https://www.sec.gov/Archives/edgar/data/73756/000119312511046600/d10k.htm,https://www.sec.gov/Archives/edgar/data/73756/000007375612000003/0000073756-12-000003-index.html,https://www.sec.gov/Archives/edgar/data/73756/000007375613000007/0000073756-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/73756/000007375614000006/oii_10kx12312013.htm,https://www.sec.gov/Archives/edgar/data/73756/000007375615000004/oii_10kx12312014.htm,https://www.sec.gov/Archives/edgar/data/73756/000007375616000068/0000073756-16-000068-index.html,https://www.sec.gov/Archives/edgar/data/73756/000007375617000013/0000073756-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/73756/000007375618000013/0000073756-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/73756/000007375619000011/0000073756-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/73756/000007375620000018/0000073756-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/73756/000007375621000023/0000073756-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/73756/000007375622000018/0000073756-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,10200000,16300000,15900000,19400000,14900000,5500000,12400000,19400000,22000000,25700000,16784000,33109000,40133000,29301000,40300000,62680000,124494000,180374000,199386000,188353000,200531000,235658000,289017000,371500000,428329000,231011000,24586000,166398000,-212327000,-348444000,-496751000,-49307000
74,Depreciation and Amortization,- -,- -,- -,- -,6500000,6300000,7200000,11500000,12200000,16200000,20600000,24700000,23200000,30000000,33948000,47906000,52341000,56963000,65619000,79613000,80456000,93776000,115029000,122945000,153651000,151227000,176483000,202228000,229779000,241235000,250247000,213519000,293590000,263427000,528895000,139723000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45876000,21631000,31184000,7502000,20654000,51800000,70717000,29090000,98000,-235013000,11912000,-12268000,-4158000,-1798000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8490000,- -,16442000,19380000,20034000,17289000,14687000,11518000,11620000,11432000,- -,11008000
77,Change in Working Capital,- -,- -,- -,- -,- -,17800000,2700000,-13200000,13900000,-8100000,-11300000,19400000,10500000,-8100000,-3500000,49984000,25655000,-25246000,14411000,65362000,72373000,87655000,58784000,95214000,58054000,-60899000,103058000,120382000,328226000,-132876000,-147306000,-2626000,-1457000,-106668000,89667000,-46305000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-71903000,11568000,12104000,-99537000,-94237000,-101912000,-8482000,178796000,123036000,13144000,-86724000,- -,- -,41099000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-83734000,-90684000,-15968000,14073000,-21656000,-11492000,-76186000,-110508000,66327000,59182000,17833000,65502000,-12485000,-11777000,26466000,7313000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14602000,-6027000,-912000,- -,87453000,128297000,-43507000,-44783000,-117133000,-76309000,28505000,- -,- -,- -
