,https://roic.ai/company/BIO-B,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,383087000,495807000,596888000,657974000,819538000,971690000,1040731000,1259726000,1536696000,1743937000,2010735000,2186722000,2185155000,2490503000,2586759000,2930250000,4020331000,5755057000,9879940000,13667134000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,720703000,986858000,1392002000,1426582000,1596168000,1937160000,2037264000,2516366000,3058941000,3096358000,3436218000,3388790000,3341278000,3711542000,3850504000,4273012000,5611068000,2259557057000,12972618000,17775795000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34434000,- -,19487000,3823000,445000,478000,42000,-69000,-74000,-24000,18000,7000,1712425943000,-13000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,720703000,986858000,1392002000,1426582000,1596168000,1971594000,2037264000,2535853000,3062764000,3096803000,3436696000,3388832000,3341209000,3711468000,3850480000,4273030000,5611075000,3971983000000,12972605000,17775795000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/12208/000001220812000008/0000012208-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220813000007/0000012208-13-000007-index.htm,- -,https://www.sec.gov/Archives/edgar/data/12208/000001220815000012/0000012208-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220816000053/0000012208-16-000053-index.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220817000012/0000012208-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/12208/000119312518134929/0001193125-18-134929-index.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220819000014/0000012208-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220820000012/0000012208-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220821000012/0000012208-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220822000011/0000012208-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,10100000,10700000,8200000,15600000,2800000,15600000,25200000,26200000,16400000,24300000,11700000,31100000,44179000,67863000,76171000,68242000,81553000,103263000,92994000,89510000,144620000,185490000,178223000,163778000,77790000,88845000,113093000,28125000,122249000,365614000,1758675000,3806267000,4245902000
74,Depreciation and Amortization,- -,- -,- -,- -,7900000,10300000,12100000,13900000,16600000,16800000,16700000,17900000,19500000,21000000,27500000,43309000,41300000,38000000,42000000,56200000,61000000,55400000,67300000,97100000,101682000,108900000,121000000,130400000,147200000,149900000,131800000,142900000,148700000,138100000,134200000,138100000,133800000
75,Deferred Income Tax,- -,- -,- -,- -,-300000,-1700000,600000,-2800000,3400000,3900000,-1300000,-4900000,-1300000,-5300000,-16900000,3383000,-1700000,12700000,-8000000,2500000,-15000000,1200000,-5900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7300000,- -,10200000,10700000,13200000,13700000,14900000,17000000,19700000,23400000,27800000,35600000,41600000,51200000
77,Change in Working Capital,- -,- -,- -,- -,-6400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,243787000,192765000,159297000,93119000,121276000,-195438000,61101000,466795000,166017000,30321000,120972000,-199628000,9222000,66639000,36957000,100751000,98730000,1273087317000,-1273151701000,308071000,1142200000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11100000,- -,-37000000,-20100000,4400000,-24200000,11100000,-39000000,12500000,-64100000,59700000,1600000,-15000000,-20400000
79,Inventory,- -,- -,- -,- -,-1600000,-6000000,-8600000,-15700000,9100000,1600000,-1000000,5300000,-14800000,-200000,4100000,-18915000,-14000000,-16200000,-8200000,-5500000,-18700000,-22800000,4400000,-51900000,- -,-15900000,-44000000,-2200000,-33400000,5800000,-54200000,-57100000,-47700000,-12900000,24200000,-52100000,46100000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3600000,- -,- -,- -,19000000,33200000,-9900000,28600000,30100000,7800000,-45600000,10600000,124700000,69900000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,243787000,436552000,595849000,688968000,810244000,614806000,675907000,1142702000,1308719000,1339040000,1460012000,1260384000,1269606000,1336245000,1373202000,1473953000,1572683000,1274660000000,1508299000,1816370000,1082300000
82,Other Non-Cash Items,- -,- -,- -,- -,-1500000,-7200000,-16800000,-22700000,-300000,12000000,-2400000,-6000000,-13500000,-12700000,22700000,-53545000,-228071000,-206493000,-141828000,-96968000,-140545000,153804000,-23915000,-469334000,-87245000,-109002000,-171079000,171148000,-72436000,-46972000,-112640000,-75043000,-289194000,-1273333337000,1271681123000,-3718710000,-4916581000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,9800000,12100000,4100000,4000000,22500000,48300000,38200000,33200000,21100000,27300000,45000000,24247000,99495000,104835000,127640000,123093000,108284000,118229000,191580000,191371000,325074000,225909000,259816000,278898000,175476000,273312000,186210000,216433000,103885000,285494000,457897000,575328000,656521000
