,https://roic.ai/company/BRC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
64,Retained Earnings,60900000,68100000,76500000,81400000,93400000,105300000,106300000,118700000,132300000,154300000,173500000,193600000,208300000,233500000,265462000,276779000,287674000,290805000,322224000,382880000,460991000,540238000,639059000,673342000,718512000,789100000,732290000,538512000,452057000,414069000,453371000,507136000,553454000,637843000,704456000,788369000
65,Other Comprehensive Income/Loss,-20400000,-23400000,-27800000,-30700000,-35500000,-40400000,-47400000,-47400000,-52300000,-50200000,-56600000,-63900000,-72300000,-83000000,-96343000,-107768000,-105860000,967000,9058000,16447000,36458000,84030000,122666000,53051000,50905000,113898000,59411000,56063000,64156000,-45034000,-54745000,-44682000,-56401000,-71254000,-66477000,-55953000
66,Other Total Stockholders Equity,23400000,28500000,33400000,38800000,45900000,50400000,60900000,56800000,65100000,66700000,72400000,76800000,97400000,109900000,121878000,133339000,142196000,46955000,71791000,97454000,248057000,266203000,259535000,224151000,235062000,252646000,217104000,235674000,216315000,218105000,204424000,237138000,254511000,283637000,224545000,230064000
67,Total Stockholders Equity,63900000,73200000,82100000,89500000,103800000,115300000,119800000,128100000,145100000,170800000,189300000,206500000,233400000,260600000,291224000,302579000,324242000,338961000,403315000,497274000,746046000,891012000,1021808000,951092000,1005027000,1156192000,1009353000,830797000,733076000,587688000,603598000,700140000,752112000,850774000,863072000,963028000
68,Total Liabilities And Stockholders Equity,94500000,104400000,117200000,129900000,147200000,156800000,173100000,179900000,202500000,230000000,261800000,291700000,311800000,351100000,398134000,392476000,420525000,449519000,694330000,850147000,1365186000,1698857000,1850513000,1583267000,1746531000,1861505000,1607719000,1438683000,1253665000,1062897000,1043964000,1050223000,1056931000,1157308000,1142466000,1377756000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,94500000,104400000,117200000,129900000,147200000,156800000,173100000,179900000,202500000,230000000,261800000,291700000,311800000,351100000,398134000,392476000,420525000,449519000,694330000,850147000,1365186000,1698857000,1850513000,1583267000,1746531000,1861505000,1607719000,1438683000,1253665000,1062897000,1043964000,1050223000,1056931000,1157308000,1142466000,1377756000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746598/000074659894000011/0000746598-94-000011-index.html,https://www.sec.gov/Archives/edgar/data/746598/000095012495003299/0000950124-95-003299-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746598/000095012400006248/0000950124-00-006248-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746598/000095013706010861/0000950137-06-010861-index.htm,https://www.sec.gov/Archives/edgar/data/746598/000095013707014815/0000950137-07-014815-index.html,https://www.sec.gov/Archives/edgar/data/746598/000095013708012076/0000950137-08-012076-index.html,https://www.sec.gov/Archives/edgar/data/746598/000095012309046589/0000950123-09-046589-index.html,https://www.sec.gov/Archives/edgar/data/746598/000095012310087855/0000950123-10-087855-index.html,https://www.sec.gov/Archives/edgar/data/746598/000095012311087053/0000950123-11-087053-index.html,https://www.sec.gov/Archives/edgar/data/746598/000119312512406801/0001193125-12-406801-index.html,https://www.sec.gov/Archives/edgar/data/746598/000074659813000223/0000746598-13-000223-index.html,https://www.sec.gov/Archives/edgar/data/746598/000074659814000167/0000746598-14-000167-index.html,https://www.sec.gov/Archives/edgar/data/746598/000074659815000132/0000746598-15-000132-index.html,https://www.sec.gov/Archives/edgar/data/746598/000074659816000273/0000746598-16-000273-index.htm,https://www.sec.gov/Archives/edgar/data/746598/000074659817000082/0000746598-17-000082-index.html,https://www.sec.gov/Archives/edgar/data/746598/000074659818000086/0000746598-18-000086-index.html,https://www.sec.gov/Archives/edgar/data/746598/000074659819000128/0000746598-19-000128-index.html,https://www.sec.gov/Archives/edgar/data/746598/000074659820000097/0000746598-20-000097-index.htm,https://www.sec.gov/Archives/edgar/data/746598/000074659821000102/0000746598-21-000102-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,9900000,15000000,15400000,5100000,16900000,18500000,27900000,28000000,31700000,28000000,39600000,47201000,27546000,28253000,21420000,50871000,81947000,104175000,109388000,132188000,70122000,81956000,108652000,-17911000,-154535000,-45968000,2987000,80110000,95645000,91060000,131258000,112369000,129659000
