,https://roic.ai/company/DVN,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1787100000,2048836000,6589000000,7562000000,7903000000,6339000000,5248000000,5568000000,6923000000,5661000000,5847000000,3819000000,5969000000,8455000000,7956000000,9830000000,12137000000,10154000000,10291000000,5785000000,4294000000,4544000000,6734000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,390900000,626826000,2142000000,2627000000,4370000000,4800000000,5405000000,5650000000,6042000000,3679000000,1899000000,2756000000,4763000000,4693000000,4793000000,6244000000,888000000,648000000,835000000,877000000,341000000,- -,287000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,192300000,278225000,275000000,341000000,1762000000,1823000000,1824000000,1758000000,2828000000,2373000000,2568000000,2516000000,2217000000,2897000000,2974000000,2287000000,2223000000,2120000000,1696000000,1492000000,1235000000,909000000,1518000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2370300000,2953887000,9006000000,10530000000,14035000000,12962000000,12477000000,12976000000,15793000000,11713000000,10314000000,9091000000,12949000000,16045000000,15723000000,18361000000,15248000000,12922000000,12822000000,8154000000,5870000000,5453000000,8539000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1513000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,244000000,246000000,252000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2597700000,3582874000,9925000000,11572000000,16106000000,16062000000,15411000000,17621000000,19450000000,14848000000,14116000000,13674000000,19687000000,22048000000,22378000000,24296000000,18543000000,15538000000,16137000000,10380000000,7797000000,6893000000,11626000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,1000000,1000000,1000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8600000,12864000,13000000,16000000,24000000,48000000,44000000,44000000,44000000,44000000,45000000,43000000,40000000,41000000,41000000,41000000,42000000,52000000,53000000,45000000,38000000,38000000,66000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-164700000,-214708000,-147000000,-84000000,1614000000,3693000000,6477000000,9114000000,12813000000,10376000000,7613000000,11882000000,16308000000,15778000000,15410000000,16631000000,1781000000,-1646000000,702000000,3650000000,3148000000,208000000,1692000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1818900000,-4799816000,-6570000000,-270000000,537000000,845000000,1276000000,1444000000,2405000000,383000000,1385000000,1760000000,1575000000,1771000000,1268000000,779000000,230000000,284000000,1166000000,1027000000,-119000000,-127000000,-132000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000500000,8279264000,9963000000,4990000000,8880000000,9087000000,7064000000,6839000000,6743000000,6257000000,6527000000,5568000000,3507000000,3688000000,3780000000,4088000000,4996000000,7237000000,7333000000,4464000000,2735000000,2766000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2025500000,3277604000,3259000000,4653000000,11056000000,13674000000,14862000000,17442000000,22006000000,17060000000,15570000000,19253000000,21430000000,21278000000,20499000000,21539000000,7049000000,5927000000,9254000000,9186000000,5802000000,2885000000,9262000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4623200000,6860478000,13184000000,16225000000,27162000000,29736000000,30273000000,35063000000,41456000000,31908000000,29686000000,32927000000,41117000000,43326000000,42877000000,45835000000,25592000000,21465000000,25391000000,19566000000,13599000000,9778000000,20888000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4802000000,3940000000,4448000000,4850000000,- -,118000000,134000000,137000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4623200000,6860478000,13184000000,16225000000,27162000000,29736000000,30273000000,35063000000,41456000000,31908000000,29686000000,32927000000,41117000000,43326000000,42877000000,50637000000,29532000000,25913000000,30241000000,19566000000,13717000000,9912000000,21025000000
