,https://roic.ai/company/RMBS,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/917273/000101287000006002/0001012870-00-006002-index.html,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/917273/000119312505032047/0001193125-05-032047-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000119312506035902/0001193125-06-035902-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000119312507201474/0001193125-07-201474-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000089161808000135/0000891618-08-000135-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000089161809000056/0000891618-09-000056-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000091727310000014/0000917273-10-000014-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000095012311018714/0000950123-11-018714-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000104746912001391/0001047469-12-001391-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000091727313000009/0000917273-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000091727314000007/0000917273-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000091727315000005/0000917273-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000091727316000027/0000917273-16-000027-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000091727317000007/0000917273-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000091727318000007/0000917273-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000091727319000006/0000917273-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000091727320000005/0000917273-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000091727321000005/0000917273-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/917273/000091727322000010/0000917273-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-6600000,-7000000,-4400000,2000000,6800000,8700000,-106127000,31271000,24704000,23221000,33559000,33677000,-13816000,-27664000,-195923000,-92186000,150917000,-43053000,-134336000,-33748000,26201000,211388000,6820000,-22862000,-157957000,-90419000,-43609000,18334000
74,Depreciation and Amortization,- -,- -,1700000,1600000,1200000,2100000,2800000,3100000,4045000,5353000,5130000,5643000,8147000,14575000,19657000,16488000,15665000,13645000,15167000,32085000,43535000,44360000,40243000,37453000,50103000,55237000,40086000,40565000,47364000,44277000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-3300000,4800000,-38621000,- -,- -,- -,- -,- -,- -,-21866000,125180000,- -,-778000,-246000,3728000,1919000,2310000,-173453000,-7116000,39535000,79954000,-1816000,685000,1522000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37167000,31585000,30548000,27996000,22546000,14981000,14730000,15096000,21013000,27403000,21736000,26476000,25778000,27486000
77,Change in Working Capital,- -,- -,3200000,4400000,- -,-9400000,54800000,9800000,2200000,47950000,11122000,-60269000,59865000,29140000,74698000,182288000,-86765000,-36050000,188337000,-236051000,-75023000,24487000,94651000,7044000,-121744000,73422000,219563000,120035000,32458000,-193861000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,417000,554000,-1651000,2714000,497000,-1722000,-3750000,-10407000,5797000,-1110000,-24933000,4994000,16136000,-13521000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1748000,473000,-1856000,-3353000,-4380000,6109000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3607000,2520000,-3811000,10452000,-9664000,-1544000,2006000,-2621000,2373000,-651000,-2268000,2934000,-2176000,2195000
81,Other Working Capital,- -,- -,- -,4400000,4400000,-5000000,49800000,59600000,61800000,109750000,120872000,60603000,120468000,149608000,224306000,406594000,319829000,283779000,472116000,236065000,161042000,185529000,280180000,287224000,165480000,238902000,458465000,578500000,610958000,417097000
82,Other Non-Cash Items,- -,- -,-100000,2300000,-300000,37200000,-44800000,-22300000,173716000,-54003000,-7713000,54819000,-57868000,-44260000,-17114000,-142698000,66202000,42414000,-148973000,272261000,122049000,-657000,-101187000,-21086000,143462000,-55298000,-116265000,33694000,122783000,311459000
83,Cash Provided by Operating Activities,- -,- -,-1800000,1300000,-3500000,31900000,16300000,4100000,35213000,30571000,33243000,23414000,43703000,33132000,63425000,6548000,-38474000,-40592000,235218000,52992000,-17501000,51342000,76948000,76442000,92538000,117437000,87117000,128535000,185459000,209217000
84,CAPEX,- -,- -,-500000,-1200000,-2000000,-3900000,-2200000,-3300000,-5762000,-13587000,-2419000,-4204000,-12259000,-7906000,-15204000,-9646000,-10171000,-5165000,-34460000,-20641000,-23509000,-9594000,-7204000,-6132000,-8556000,-9505000,-11112000,-6472000,-29728000,-13792000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-1334000,- -,- -,- -,- -,-5434000,-1300000,-1139000,- -,-26000000,-17000000,-167381000,-46278000,- -,- -,- -,-202523000,- -,-3000000,8259000,- -,-97115000
86,Purchases of Investments,- -,- -,- -,- -,-20100000,-279200000,-314700000,-1119500000,-856550000,-835414000,-313769000,-384167000,-119456000,-347700000,-215188000,-664420000,-362968000,-185217000,-428768000,-173996000,-110716000,-125554000,-240281000,-157811000,-54869000,-102497000,-282117000,-657433000,-898957000,-567947000
87,Sales/Maturities of Investments,- -,- -,- -,- -,25400000,235900000,302400000,1105500000,865777000,805044000,277026000,395298000,76812000,222142000,166191000,707093000,455840000,240927000,298468000,337913000,183086000,130620000,143721000,161101000,160627000,36498000,224429000,514143000,839422000,563199000
88,Other Investing Activites,- -,- -,-3100000,-9200000,600000,- -,- -,-2500000,25000,-16205000,3610000,-13214000,-5977000,288000,-2791000,1000,-270000,-2500000,-7503000,-1210000,-1700000,-401000,5859000,3933000,113000,-87000,3414000,29000,-1131000,- -
89,Cash Used for Investing Activites,- -,- -,-3600000,-10400000,3900000,-47200000,-14500000,-19800000,2156000,-60162000,-35552000,-6287000,-60880000,-138610000,-68292000,31889000,82731000,24545000,-181503000,-24105000,2583000,-2273000,-97905000,1091000,-105208000,-75471000,-68036000,-141474000,-90394000,-115655000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19929000,- -,-141224000,-2987000,-522000,-178000,-172822000,-478000,-661000,-73117000,-82287000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,200000,35600000,3100000,4900000,10756000,10780000,3523000,25940000,45087000,8523000,57559000,11831000,21688000,20692000,208514000,12282000,- -,- -,- -,- -,- -,- -,- -,- -,- -,8957000
92,Common Stock Repurchased,- -,- -,5000000,9100000,- -,- -,- -,- -,- -,- -,-23930000,-29829000,-21653000,-88166000,-20955000,- -,-49226000,- -,-195108000,- -,- -,- -,- -,-100113000,- -,-50038000,-50033000,- -,-50069000,-100081000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-500000,-600000,-700000,-400000,300000,-200000,- -,- -,- -,- -,- -,179362000,-800000,-4250000,- -,168187000,292000,-91200000,2180000,140959000,9306000,12813000,6426000,169600000,4636000,-298000,-11117000,-23085000
