,https://roic.ai/company/APT,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,-460000,-586000,-390000,-500000,-896000,-1045000,-182000,-317000,-611000,-2070000,54000,-607000,-1207000,-523000,-1143000,-42000,-363000,-350000,-641000,-449000,-308000,-685000,-570000,-1142000,-862000,-2524000
90,Debt Repayment,-35000,-71000,-122000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,719000,2463000,- -,- -,214000,58000,7000,272000,968000,419000,1047000,1431000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-506000,-506000,-802000,-287000,-372000,-21000,- -,-907000,-2125000,-2109000,- -,-1553000,-1581000,-3134000,-2206000,-2110000,-6773000,-4226000,-3580000,-2548000,-2666000,-4408000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,5000,129000,-115000,-500000,-557000,429000,-544000,-415000,- -,- -,- -,225000,- -,264000,147000,16000,9000,1052000,1006000,774000,23000,210000,394000,130000,1998000,427000
95,Cash Used/Provided by Financing Activities,689000,2521000,-237000,-500000,-849000,-19000,-1339000,-430000,596000,398000,1047000,749000,-2125000,-1845000,147000,-1537000,-1572000,-2082000,-1200000,-1336000,-6750000,-4016000,-3186000,-2418000,-668000,-3981000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-69000,215000,-447000,-500000,346000,241000,1507000,548000,1448000,-3712000,674000,2227000,514000,5175000,-4437000,2187000,-2949000,3661000,-2720000,4186000,-225000,-693000,-1756000,-459000,16744000,-6985000
98,Cash at the End of Period,275000,490000,43000,800000,1131000,1372000,2879000,3427000,4875000,1163000,1837000,4064000,4578000,9753000,5316000,7503000,4554000,8215000,5495000,9681000,9456000,8763000,7007000,6548000,23292000,16307000
99,Cash at the Beginning of Period,344000,275000,490000,- -,785000,1131000,1372000,2879000,3427000,4875000,1163000,1837000,4064000,4578000,9753000,5316000,7503000,4554000,8215000,5495000,9681000,9456000,8763000,7007000,6548000,23292000
100,Free Cash Flow,-706000,-2254000,-210000,1200000,1219000,162000,2854000,925000,877000,-2634000,-873000,1478000,2639000,6995000,-4584000,3489000,-1539000,5743000,-1826000,5697000,6566000,2786000,1394000,1805000,17139000,-3004000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884269/000110465904006318/0001104659-04-006318-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000110465905010174/0001104659-05-010174-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000110465906018916/0001104659-06-018916-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000110465907017711/0001104659-07-017711-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000110465908018897/0001104659-08-018897-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000110465909016330/0001104659-09-016330-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000110465910013514/0001104659-10-013514-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000110465911014897/0001104659-11-014897-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774912002336/0001437749-12-002336-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774913002367/0001437749-13-002367-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774914003563/0001437749-14-003563-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774915004304/0001437749-15-004304-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774916026648/0001437749-16-026648-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774917004000/0001437749-17-004000-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774918004389/0001437749-18-004389-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774919004169/0001437749-19-004169-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774920004678/0001437749-20-004678-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774921005551/0001437749-21-005551-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774922005979/0001437749-22-005979-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
