,https://roic.ai/company/MOS,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1285785/000119312506170786/d10k.htm,https://www.sec.gov/Archives/edgar/data/1285785/000119312507177117/0001193125-07-177117-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000119312508159285/0001193125-08-159285-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000119312509154839/0001193125-09-154839-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000119312510164140/0001193125-10-164140-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000119312511191456/0001193125-11-191456-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000119312512304472/0001193125-12-304472-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000119312513292097/0001193125-13-292097-index.html,- -,https://www.sec.gov/Archives/edgar/data/1285785/000161803416000025/0001618034-16-000025-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000161803417000005/0001618034-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000161803418000003/0001618034-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000161803419000004/0001618034-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000161803420000003/0001618034-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000161803421000003/0001618034-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803422000004/0001618034-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,82600000,95800000,-74600000,-167100000,-28800000,114700000,144300000,62900000,-9000000,-773300000,-345000000,-66500000,-110200000,-135400000,- -,165600000,-121400000,419700000,2082800000,2350200000,827100000,2514600000,1930200000,1888700000,1028600000,1000400000,297800000,-107200000,470000000,-1067400000,666100000,1630600000
74,Depreciation and Amortization,- -,- -,92500000,90200000,83300000,61500000,122400000,134400000,168600000,183200000,251700000,232500000,171600000,165600000,173700000,171900000,- -,180700000,270200000,313300000,356500000,359700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,847600000,- -
75,Deferred Income Tax,- -,- -,9100000,13700000,170200000,-78400000,1600000,9000000,300000,58400000,2900000,136400000,-21100000,-36100000,-69700000,-3300000,- -,33000000,-38900000,46700000,140700000,-138900000,51100000,196600000,245800000,200000000,-153800000,47400000,-182600000,612400000,-101800000,-261300000,-684000000,98800000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23500000,21100000,23400000,28200000,54300000,41300000,30500000,28000000,27500000,27900000,17800000,29500000
77,Change in Working Capital,- -,- -,67200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,248500000,-62900000,439000000,- -,-170300000,-128500000,2297600000,1062600000,-15100000,1085500000,-93000000,452200000,-1351800000,-1667400000,-515500000,1004500000,-832100000,-626800000,-751800000,730300000,-629700000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,24500000,-21700000,8800000,3500000,46600000,-1300000,-55400000,3900000,-81400000,68800000,-8400000,40300000,-56800000,37300000,- -,-78200000,-16800000,-19300000,-547100000,-178700000,92000000,-244700000,6500000,-315500000,-129700000,-53700000,263000000,-155700000,-497400000,128100000,191400000,-1067900000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-686800000,156800000,240100000,-58400000,-100500000,277200000,301800000,- -,- -,- -,- -,- -,- -
