,https://roic.ai/company/D,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,13562200000,13903300000,14905600000,20192700000,17517000000,17747000000,29348000000,34369000000,37909000000,44186000000,45446000000,52660000000,49269000000,39123000000,42053000000,42554000000,42817000000,45614000000,46838000000,50096000000,54327000000,58797000000,71610000000,76585000000,77914000000,103823000000,95905000000,99590000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,343500000,336700000,410600000,679300000,698500000,711000000,1736000000,1776000000,2310000000,2712000000,1984000000,2756000000,2142000000,1734000000,1499000000,1401000000,1562000000,1250000000,1137000000,1168000000,952000000,726000000,1000000000,875000000,914000000,1115000000,944000000,1197000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,545100000,657400000,1128900000,1988700000,1924100000,1406000000,3573000000,3213000000,3318000000,2704000000,1941000000,3948000000,4810000000,3234000000,2474000000,2432000000,1883000000,3293000000,4635000000,3446000000,4150000000,5335000000,4864000000,6376000000,4031000000,4073000000,3057000000,3155000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,348800000,400100000,436000000,957700000,896000000,882000000,2283000000,2489000000,2815000000,3451000000,4131000000,7776000000,4277000000,2778000000,3821000000,3000000000,2328000000,2419000000,1991000000,2380000000,2096000000,2059000000,2251000000,2385000000,2702000000,4751000000,6842000000,4321000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1237400000,1394200000,1975500000,3625700000,3518600000,2999000000,7592000000,7478000000,8443000000,8867000000,8056000000,14480000000,11229000000,7746000000,7794000000,6833000000,5773000000,6962000000,7763000000,6994000000,7198000000,8120000000,8115000000,9636000000,7647000000,9939000000,10843000000,8673000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,4710600000,4611900000,4727600000,7196000000,5070900000,6936000000,10101000000,12119000000,12060000000,15776000000,15507000000,14653000000,14791000000,13235000000,14956000000,15481000000,15758000000,17394000000,16851000000,19330000000,21805000000,23616000000,30231000000,30948000000,31144000000,33719000000,33957000000,37426000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1902800000,1933300000,1998600000,2256800000,2013900000,1845000000,2967000000,3940000000,4209000000,4563000000,5499000000,4926000000,5858000000,4253000000,4137000000,4244000000,4708000000,5216000000,5800000000,7114000000,7444000000,7414000000,8602000000,4523000000,5116000000,6277000000,5953000000,6658000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,712800000,769800000,1564200000,1088200000,706000000,1187000000,2080000000,2727000000,4185000000,4701000000,7947000000,4221000000,4226000000,4832000000,4811000000,4581000000,4539000000,5799000000,5016000000,5923000000,6045000000,7822000000,12108000000,11959000000,19855000000,18691000000,19525000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6613400000,7258000000,7496000000,11017000000,8173000000,9487000000,14255000000,18139000000,18996000000,24524000000,25707000000,27526000000,24870000000,21714000000,23925000000,24536000000,25047000000,27149000000,28450000000,31460000000,35172000000,37075000000,46655000000,47579000000,48219000000,59851000000,58601000000,63609000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,13536000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49974000000,43657000000,48107000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105000000,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,8160000000,8337300000,9157200000,13675300000,10816200000,12387000000,21846000000,25617000000,27439000000,33391000000,33763000000,42006000000,36333000000,29689000000,31976000000,31369000000,30820000000,34111000000,36213000000,38454000000,42370000000,45195000000,54770000000,57215000000,55866000000,69790000000,69444000000,72282000000
