,https://roic.ai/company/SBAC,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
52,Other Current Liabilities,6300000,13800000,30160481,57043000,21038000,42020000,21739000,23022000,22888000,26061000,30325000,66845000,57599000,59347000,283975000,146827000,135652000,129183000,116872000,127602000,122189000,380850000,367715000,135388000
53,Total Current Liabilities,37700000,54600000,109710935,113701000,262591000,76047000,51003000,52143000,58354000,76170000,90594000,158725000,130584000,126881000,863688000,747673000,331050000,273371000,873447000,278905000,1206279000,1048293000,614801000,616331000
54,Long-Term Debt,165600000,318200000,281666992,845088000,834885000,859220000,924456000,784392000,1555000000,1905000000,2548660000,2460402000,2827450000,3349485000,4880752000,5394721000,7828299000,8522305000,8148426000,9290686000,8996825000,9812335000,11071796000,14260047000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16309000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,3400000,8000000,18444566,18429000,18429000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,300000,400000,835276,1149000,3537000,3838000,30456000,34570000,47017000,65762000,64186000,94570000,112008000,129282000,198186000,283828000,342576000,313683000,334993000,349728000,387426000,2566320000,2295803000,208725000
58,Total Non-Current Liabilities,169300000,326600000,300946834,864666000,856851000,863058000,954912000,818962000,1602017000,1970762000,2629155000,2554972000,2939458000,3478767000,5078938000,5678549000,8170875000,8835988000,8483419000,9640414000,9384251000,12378655000,13367599000,14468772000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2526415000,2330400000,2219850000
61,Total Liabilities,207000000,381200000,410657769,978367000,1119442000,939105000,1005915000,871105000,1660371000,2046932000,2719749000,2713697000,3070042000,3605648000,5942626000,6426222000,8501925000,9109359000,9356866000,9919319000,10590530000,13426948000,13982400000,15085103000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,300000,464446,487000,512000,550000,649000,856000,1057000,1084000,1175000,1171000,1148000,1097000,1269000,1284000,1291000,1257000,1210000,1164000,1124000,1118000,1098000,1089000
64,Retained Earnings,-26900000,-60800000,-89674506,-214820000,-487985000,-636634000,-829357000,-924066000,-1065224000,-1234307000,-1401035000,-1627602000,-1929670000,-2281139000,-2462176000,-2518085000,-2542380000,-3168069000,-3637467000,-4388288000,-5136368000,-5560695000,-6604028000,-7203531000
65,Other Comprehensive Income/Loss,-6500000,-23600000,-54693678,-54694000,-221729000,-254760000,-369190000,14000000,-1000000,-1000000,-2000000,-3000000,2000000,-1226279000,3000000,-34000000,-182000000,-502000000,-370000000,-379000000,-512000000,-569000000,-807582000,-762309000
66,Other Total Stockholders Equity,40900000,132700000,682064069,719671000,894675000,934721000,1109227000,990641000,1451088000,1571614000,1893619000,2228465000,2243632000,3495008000,3110898000,2907767000,2062289000,1962668000,2010336000,2167010000,2270421000,2461570000,2586130000,2681347000
67,Total Stockholders Equity,7500000,48600000,538160331,450644000,185473000,43877000,-88671000,81431000,385921000,337391000,491759000,599034000,317110000,-11313000,652991000,356966000,-660800000,-1706144000,-1995921000,-2599114000,-3376823000,-3667007000,-4824382000,-5283404000
68,Total Liabilities And Stockholders Equity,214500000,429800000,948818100,1429011000,1304915000,982982000,917244000,952536000,2046292000,2384323000,3211508000,3312731000,3387152000,3594335000,6595617000,6783188000,7841125000,7403215000,7360945000,7320205000,7213707000,9759941000,9158018000,9801699000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,915000,13023000,12064000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,214500000,429800000,948818100,1429011000,1304915000,982982000,917244000,952536000,2046292000,2384323000,3211508000,3313646000,3400175000,3606399000,6595617000,6783188000,7841125000,7403215000,7360945000,7320205000,7213707000,9759941000,9158018000,9801699000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1034054/000091664100000391/0000916641-00-000391-index.html,https://www.sec.gov/Archives/edgar/data/1034054/000095010901500417/0000950109-01-500417-index.html,https://www.sec.gov/Archives/edgar/data/1034054/000091664102000492/0000916641-02-000492-index.html,https://www.sec.gov/Archives/edgar/data/1034054/000091664103000889/0000916641-03-000889-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000119312504039482/0001193125-04-039482-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000119312505052876/0001193125-05-052876-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000119312506050160/0001193125-06-050160-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000119312507043928/0001193125-07-043928-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000119312508040304/0001193125-08-040304-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000119312509041076/0001193125-09-041076-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000119312510043426/0001193125-10-043426-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000119312511047174/0001193125-11-047174-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000119312512081211/0001193125-12-081211-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000119312513080059/0001193125-13-080059-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000103405414000004/0001034054-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000103405415000004/0001034054-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000103405416000018/0001034054-16-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000103405417000003/0001034054-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000103405418000003/0001034054-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000103405419000002/0001034054-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000103405420000003/0001034054-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000103405421000003/0001034054-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1034054/000103405422000002/0001034054-22-000002-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-19900000,-34500000,-28915305,-125145000,-273165000,-172171000,-147280000,-94709000,-133448000,-77879000,-46763000,-140871000,-194674000,-126456000,-181037000,-55909000,-24295000,-175656000,76238000,103654000,47451000,146991000,24104000,237624000
74,Depreciation and Amortization,21600000,38600000,34831394,80465000,135713000,94715000,120701000,115956000,149147000,177201000,211445000,258537000,278727000,309146000,408467000,533334000,627072000,660021000,638189000,643100000,672113000,697078000,721970000,700161000
75,Deferred Income Tax,4000000,- -,- -,- -,- -,- -,- -,- -,47000,201000,159000,-265000,-737000,-1686000,1360000,-6642000,530000,-5000,1409000,- -,- -,15935000,-63187000,-8510000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7207000,8200000,10501000,11469000,13968000,17205000,22671000,28747000,32915000,38249000,42327000,73214000,68890000,84402000
77,Change in Working Capital,1500000,-29100000,-6474645,6060645,-127578000,141872000,72289000,14876000,-10792000,67789000,-73321000,14392000,-61970000,-13668000,-497600000,91104000,399859000,24751000,-569465000,529504000,-813053000,118403000,572211000,-35129000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14408000,-3497000,-5919000,-3709000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8251000,1530000,5475000,7366000,-10516000,3555000,-3021000,-5951000,13173000,4781000
81,Other Working Capital,8100000,-21000000,-27474645,-21414000,-148992000,-7120000,65169000,80045000,69253000,137042000,63721000,78113000,16143000,2475000,-495125000,-404021000,-4162000,20589000,-548876000,-19372000,-832425000,-714022000,-141811000,- -
82,Other Non-Cash Items,300000,48100000,48074891,51619355,266584000,-94224000,-31494000,13644000,71006000,-44378000,74969000,82565000,169308000,70253000,598052000,-81505000,-354194000,199315000,563239000,-496037000,901780000,-81576000,-197955000,211348000
83,Cash Provided by Operating Activities,7500000,23100000,47516335,13000000,1554000,-29808000,14216000,49767000,75960000,122934000,173696000,222558000,201155000,249058000,343210000,497587000,671643000,737173000,742525000,818470000,850618000,970045000,1126033000,1189896000
84,CAPEX,-138100000,-208900000,- -,- -,-103379000,-15136000,-7214000,-19648000,-28969000,-27771000,-36166000,-46743000,-66618000,-126938000,-113265000,-168893000,-211251000,-208707000,-139982000,-147044000,-149812000,-154236000,-128566000,-133694000
85,Acquisitions Net,- -,- -,-445280127,-530273000,- -,-3126000,-1791000,-61326000,-725530000,-201466000,-584498000,-180798000,-328045000,-379320000,-2158655000,-686703000,-1585222000,-609530000,-276835000,-441547000,-451829000,-773957000,-271418000,-1257704000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-34628000,- -,-208251000,- -,-9164000,-36866000,-6330000,- -,- -,- -,- -,- -,- -,-156983000,-638963000,-1288705000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,14996000,19900000,137551000,41044000,980000,7107000,4581000,- -,26000000,- -,89728000,712000,231000,150890000,625807000,1239206000,- -
