,https://roic.ai/company/SQM,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-105573000,-233828000,-632540000,-370000000,-220000000,-176485000,-230000000,-190000000,-517000000,-180987000,-213000000,-14317000,-272137000
91,Common Stock Issued,- -,168600000,800000,- -,24100000,38115000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-10400000,-11500000,-23100000,-36900000,-32300000,-36065000,-26100000,-15290000,-16433000,-21361000,-25706000,-51732000,-74566000,-94910000,-212831000,-345647000,-175539000,-277334000,-334762000,-279668000,-379044000,-127343000,-399410000,-373933000,-550352000,-329787000,-221995000
94,Other Financing Activites,-34100000,-22800000,147800000,55700000,105200000,53923000,-25834000,21794000,-129021000,-30510000,-109389000,179000000,146179000,-62220000,280000000,781966000,553844000,542138000,357065000,453868000,221009000,137000000,100000000,143000000,376039000,450000000,400000000
95,Cash Used/Provided by Financing Activities,-44500000,134300000,125500000,18800000,97000000,55973000,-51924000,6504000,-145454000,-51871000,-135095000,127268000,71613000,-157130000,-38404000,202491000,-254235000,-105196000,-197697000,-2285000,-388035000,-180343000,-816410000,-411920000,-387313000,105896000,-94132000
96,Effect of Forex Changes on Cash,500000,-2300000,100000,- -,- -,-1305000,-718000,-1259000,-299000,-59000,-58000,1497000,2720000,271000,-516000,25710000,21535000,-29581000,-10263000,-9774000,-13701000,-4476000,7772000,17484000,-24894000,-14932000,-439000
97,Net Change In Cash,-44500000,134300000,125500000,18800000,-11800000,-31223000,3223000,88808000,-56332000,4069000,-2520000,81203000,35987000,-19731000,139587000,226595000,149013000,-79660000,-120639000,152269000,-122056000,172693000,-12590000,115769000,-74372000,32464000,-79428000
98,Cash at the End of Period,- -,- -,- -,- -,60700000,29502000,32725000,121536000,65204000,69273000,66753000,147956000,183943000,164212000,303799000,530394000,524652000,444992000,324353000,476622000,354566000,527259000,514669000,630438000,556066000,588530000,509102000
99,Cash at the Beginning of Period,92000000,71600000,125100000,155300000,72500000,60725000,29502000,32728000,121536000,65204000,69273000,66753000,147956000,183943000,164212000,303799000,375639000,524652000,444992000,324353000,476622000,354566000,527259000,514669000,630438000,556066000,588530000
100,Free Cash Flow,13400000,-1000000,-109000000,-126300000,-101600000,-62102000,67109000,95899000,85551000,61059000,100268000,-33619000,45412000,145654000,181421000,14347000,282525000,70227000,204222000,265218000,478901000,316002000,500321000,616128000,205772000,103155000,-140587000
