,https://roic.ai/company/SBOW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2680585,1905909,1666058,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22669000,- -,- -
44,Other Non-Current Assets,1400000,1500000,1300000,1200000,1100000,2200000,4000000,3500000,4300000,6200000,4400000,5800000,4900000,8700000,7900000,3426972,3723182,9047621,8015575,11082933,10323748,9796552,8906000,7755000,10201000,12713000,16552000,18504000,17199000,13641000,5248000,8625000,13304000,9900000,7476000,1702000,- -
45,Total Non-Current Assets,6800000,8800000,15300000,22200000,30200000,45700000,53500000,69400000,95600000,96500000,131900000,208800000,309100000,368400000,403700000,530514122,634931853,737237660,826381260,936187151,1089357487,1493108717,1769101000,1439202000,1326165000,1585558000,1884318000,2363524000,2556845000,2108678000,463151000,355820000,508701000,711196000,906508000,548162000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,819454000
47,Total Assets,14800000,15700000,23700000,31500000,85000000,118200000,101400000,100200000,160900000,135700000,175300000,310400000,339100000,403600000,454300000,572387001,671684833,767005859,861054932,990573147,1204412622,1585681758,1969051000,1517288000,1434765000,1746375000,2212469000,2444061000,2643593000,2173347000,524998000,377299000,551270000,777520000,959816000,583135000,819454000
48,Accounts Payable,- -,- -,- -,- -,4000000,6000000,5700000,8100000,7500000,9500000,23100000,20400000,16500000,18600000,25700000,54977397,38884380,43028708,63100669,29406877,51973004,74425082,89281000,66802000,60823000,81646000,95966000,31128000,30769000,31153000,498000,10563000,20884000,32683000,26121000,15930000,- -
49,Short-Term Debt,200000,300000,100000,700000,4300000,13000000,23400000,- -,2700000,27200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,324900000,- -,- -,- -,- -,- -,7222000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5837000,- -,- -,7550000,10990000,17825000,- -,9192000,12996000,14681000,9166000,11098000,23577000
52,Other Current Liabilities,7400000,6200000,8200000,9100000,41100000,52500000,21800000,19800000,45400000,15600000,17000000,12500000,12000000,12800000,8400000,9347374,34360955,3855476,6672061,39211414,46448010,71550206,120880000,86697000,36944000,81141000,115828000,138802000,135317000,99941000,7655000,59369000,41617000,58648000,45859000,31012000,90538000
53,Total Current Liabilities,7600000,6500000,8300000,9800000,49400000,71500000,50900000,27900000,55600000,52300000,40100000,32900000,28500000,31400000,34100000,64324771,73245335,46884184,69772730,68618291,98421014,145975288,210161000,153499000,103604000,162787000,211794000,177480000,177076000,148919000,333053000,79124000,75497000,106012000,81146000,58040000,121337000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,28800000,28800000,28800000,115000000,122900000,261200000,239100000,134729485,258197128,324271973,340254783,357500000,350000000,381400000,587000000,580700000,471397000,471624000,719775000,916934000,1142368000,1074534000,905629000,198000000,265325000,387988000,472900000,424905000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11989000,- -,- -,- -,- -,- -,- -
