,https://roic.ai/company/RS,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/861884/000095015003000376/a88725e10vk.htm,https://www.sec.gov/Archives/edgar/data/861884/000095015004000335/a97304e10vk.htm,https://www.sec.gov/Archives/edgar/data/861884/000095012905002444/a06871e10vk.htm,https://www.sec.gov/Archives/edgar/data/861884/000095013406005093/a18560e10vk.htm,https://www.sec.gov/Archives/edgar/data/861884/000095013407004550/a27894e10vk.htm,https://www.sec.gov/Archives/edgar/data/861884/000095013408003739/a38525e10vk.htm,https://www.sec.gov/Archives/edgar/data/861884/000095013409004031/0000950134-09-004031-index.html,https://www.sec.gov/Archives/edgar/data/861884/000095012310018335/0000950123-10-018335-index.html,https://www.sec.gov/Archives/edgar/data/861884/000119312511047561/d10k.htm,https://www.sec.gov/Archives/edgar/data/861884/000104746912001477/0001047469-12-001477-index.html,https://www.sec.gov/Archives/edgar/data/861884/000104746913001836/0001047469-13-001836-index.html,https://www.sec.gov/Archives/edgar/data/861884/000104746914001477/a2218513z10-k.htm,https://www.sec.gov/Archives/edgar/data/861884/000104746915001302/a2223210z10-k.htm,https://www.sec.gov/Archives/edgar/data/861884/000155837016003570/0001558370-16-003570-index.html,https://www.sec.gov/Archives/edgar/data/861884/000155837017000994/0001558370-17-000994-index.html,https://www.sec.gov/Archives/edgar/data/861884/000155837018001275/0001558370-18-001275-index.html,https://www.sec.gov/Archives/edgar/data/861884/000155837019001202/0001558370-19-001202-index.html,https://www.sec.gov/Archives/edgar/data/861884/000155837020001637/0001558370-20-001637-index.html,https://www.sec.gov/Archives/edgar/data/861884/000155837021001836/0001558370-21-001836-index.htm,https://www.sec.gov/Archives/edgar/data/861884/000155837022001918/0001558370-22-001918-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,9200000,14400000,22700000,29800000,34200000,47700000,57600000,62319000,36336000,30167000,34010000,169728000,205437000,354507000,407955000,482777000,148158000,194353000,343800000,403500000,321600000,371500000,311500000,304300000,613400000,633700000,701500000,369100000,1413000000
74,Depreciation and Amortization,3600000,4300000,5200000,8500000,13200000,19400000,25600000,28092000,32337000,28546000,36870000,44627000,46631000,60325000,79873000,97924000,118884000,120603000,133100000,151500000,192400000,213800000,218500000,222000000,218400000,215200000,219300000,227300000,230200000
75,Deferred Income Tax,- -,300000,-1800000,1500000,1300000,-200000,-200000,231000,-2142000,3577000,8120000,2726000,-1059000,7295000,12042000,22720000,58016000,42724000,-27200000,2800000,3100000,-18200000,-17100000,-500000,-192600000,-9100000,32500000,-13700000,-23800000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13189000,15530000,17334000,21300000,23000000,26000000,22800000,21300000,24400000,33400000,45500000,51200000,42200000,70800000
77,Change in Working Capital,-7300000,- -,- -,136800000,76500000,77900000,-18200000,74659000,32332000,9629000,-47858000,102687000,69080000,611121000,-3111000,530668000,-678872000,218967000,505998000,900000,466300000,292800000,-893800000,468000000,315100000,238300000,-251000000,164900000,-909700000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166025000,322163000,-146743000,-145900000,123100000,25400000,-97200000,222500000,-31200000,-119700000,-153300000,178100000,136800000,-656100000
79,Inventory,-4900000,-8400000,-12200000,-6700000,500000,-3300000,35000000,-25165000,21468000,30150000,19995000,-61699000,-11345000,-89414000,129582000,191472000,569943000,-121857000,-231000000,-1300000,111900000,-131000000,306800000,-30400000,-186600000,-88800000,211800000,227500000,-505900000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79388000,107600000,-88800000,-49700000,-24200000,-78900000,47500000,34200000,-10600000,-142500000,-43400000,226100000
