5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,272400000,396800000,551800000,863900000,975200000,914800000,883300000,961800000,930700000,945900000,946800000,967000000,976700000,1002400000,1159007000,1225290000,1215923000,1329886000,1549702000,1736692000,41118000,67827000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,930694000,928333000,946769000,966982000,23976000,24817000,23421000,23254000,27231000,25923000,30672000,32966000,41118000,67827000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24563009000,25993354000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,5430000000,6076000000,7496000000,9518000000,11360000000,12335000000,12000000000,12315000000,11886000000,11900000000,12124000000,12822000000,13044000000,12840000000,13366704000,12936833000,13246108000,15222560000,16890195000,18191126000,23062181000,28046103000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,683000,686000,689000,691000,692000,694000,696000,698000
64,Retained Earnings,- -,- -,- -,- -,- -,1250000000,1336000000,1551000000,1958000000,2430000000,2186000000,2988000000,3957000000,3819000000,4567000000,5069000000,4885000000,5613000000,6766000000,7819210000,8621972000,9422932000,9685908000,9531433000,10306571000,10567452000,11699836000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,146000000,228000000,442000000,550000000,644000000,221000000,349000000,163000000,-292000000,272000000,332000000,367000000,537000000,158000000,48000000,-232000000,-217000000,-161000000,-463000000,28000000,- -,11523000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,187000000,157000000,374646000,655900000,637518000,1731694000,1769687000,1563770000,1432355000,1261722000,881517000,818375000,582467000,43276000,-416773000,-782073000,-1131225000,-1156367000,-1165321000,-1202340000,-841972000,-1572877000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,1583000000,1721000000,2368646000,3164900000,3712518000,4139694000,5107687000,5684770000,4960355000,6101722000,6283517000,6071375000,6733467000,6968276000,7451120000,7608585000,8075396000,8369232000,7903804000,9132925000,9726176000,10139180000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,7013000000,7797000000,9864646000,12682900000,15072518000,16474694000,17107687000,17999770000,16846355000,18001722000,18407517000,18893375000,19777467000,19808276000,20817824000,20545418000,21321504000,23591792000,24793999000,27324051000,32788357000,38185283000
