,https://roic.ai/company/ARMP,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
63,Common Stock,- -,- -,- -,- -,- -,98100000,200968429,441000,506000,662000,856000,857000,109000,198000,202000,4540000,- -,450000,669000,1825000,1992000,59000,165000,95000,323000,99000,187000,271000
64,Retained Earnings,-17800000,-27600000,-53600000,-67800000,-76500000,-103500000,-150812610,-177982000,-201749000,-216582000,-230839000,-250037000,-284027000,-300154000,-320874000,- -,- -,-319290000,-320532000,-387239000,-362006000,-362522000,-381360000,-394206000,-406316000,-157521000,-179702000,-202857000
65,Other Comprehensive Income/Loss,-1400000,-2900000,-4700000,-6200000,-6200000,-7100000,-8470882,-10973000,-11062000,-13482000,-13654000,-21000,-39000,- -,-16055000,- -,- -,-180000,-391000,-65000,-478000,-604000,-932000,-1170000,-1528000,-8158000,- -,- -
66,Other Total Stockholders Equity,32400000,46300000,77800000,79600000,94700000,19500000,21746660,225915000,218201000,262881000,293399000,279772000,289324000,- -,332955000,- -,- -,326170000,333197000,371169000,363929000,375781000,391850000,403012000,415995000,180173000,198372000,227983000
67,Total Stockholders Equity,13200000,15800000,19500000,5600000,12000000,7000000,63431597,37401000,5896000,33479000,49762000,30571000,5367000,16240000,-3772000,4540000,- -,7150000,12943000,-14221000,3437000,12714000,9723000,7731000,8474000,14593000,18857000,25397000
68,Total Liabilities And Stockholders Equity,17000000,20000000,25100000,9800000,16200000,13700000,87974042,71038000,51962000,56922000,69965000,48798000,17467000,28474000,7150000,5460000,- -,11480000,22071000,37947000,28617000,31493000,18195000,11138000,11887000,25451000,39516000,69768000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,750000,750000,- -,- -,- -,- -,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,17000000,20000000,25100000,9800000,16200000,13700000,87974042,71038000,52712000,57672000,69965000,48798000,17467000,28474000,7150000,5450000,- -,11480000,22071000,37947000,28617000,31493000,18195000,11138000,11887000,25451000,39516000,69768000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/921114/000103221003000453/0001032210-03-000453-index.htm,https://www.sec.gov/Archives/edgar/data/921114/000095012404000848/0000950124-04-000848-index.htm,https://www.sec.gov/Archives/edgar/data/921114/000095012405001252/0000950124-05-001252-index.htm,https://www.sec.gov/Archives/edgar/data/921114/000095012406001265/0000950124-06-001265-index.htm,https://www.sec.gov/Archives/edgar/data/921114/000114420407015314/0001144204-07-015314-index.htm,- -,https://www.sec.gov/Archives/edgar/data/921114/000119312509069362/0001193125-09-069362-index.htm,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/921114/000114420414022813/0001144204-14-022813-index.htm,https://www.sec.gov/Archives/edgar/data/921114/000114420415023071/0001144204-15-023071-index.htm,https://www.sec.gov/Archives/edgar/data/921114/000114420416091546/0001144204-16-091546-index.htm,https://www.sec.gov/Archives/edgar/data/921114/000114420417016833/0001144204-17-016833-index.htm,https://www.sec.gov/Archives/edgar/data/921114/000114420418014652/0001144204-18-014652-index.htm,https://www.sec.gov/Archives/edgar/data/921114/000114420419015711/0001144204-19-015711-index.htm,https://www.sec.gov/Archives/edgar/data/921114/000155837020002943/0001558370-20-002943-index.htm,https://www.sec.gov/Archives/edgar/data/921114/000155837021003202/0001558370-21-003202-index.htm,https://www.sec.gov/Archives/edgar/data/921114/000155837022003845/0001558370-22-003845-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
