,https://roic.ai/company/STLY,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/797465/000079746595000010/0000797465-95-000010-index.html,https://www.sec.gov/Archives/edgar/data/797465/000079746596000004/0000797465-96-000004-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/797465/000079746506000016/0000797465-06-000016-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000079746507000016/0000797465-07-000016-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000079746508000008/0000797465-08-000008-index.htm,- -,https://www.sec.gov/Archives/edgar/data/797465/000095012310009169/0000950123-10-009169-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000095012311008470/0000950123-11-008470-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000119312512032382/0001193125-12-032382-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000151316213000105/0001513162-13-000105-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000151316214000085/0001513162-14-000085-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000151316215000098/0001513162-15-000098-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000151316216000732/0001513162-16-000732-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000151316217000052/0001513162-17-000052-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000143774918005339/0001437749-18-005339-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000143774919006041/0001437749-19-006041-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000143774920005176/0001437749-20-005176-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000143774921004617/0001437749-21-004617-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000143774922007427/0001437749-22-007427-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1300000,-1000000,-1000000,-16000000,100000,5300000,2400000,3900000,9000000,11600000,14500000,19200000,19500000,8300000,12600000,15200000,20800000,23200000,16800000,5900000,3736000,-11800000,-43800000,-5000000,30400000,-12600000,-29892000,5340000,-5258000,-7459000,-1440000,170000,63000,2760000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,4800000,4400000,4900000,5200000,5400000,5800000,6300000,8141000,6465000,5938000,5783000,5622000,5670000,5837000,9054000,8853000,5994000,9405000,1643000,1767000,2236000,532000,470000,470000,461000,1000,2000,3000,30
75,Deferred Income Tax,- -,- -,- -,- -,- -,2000000,200000,- -,-100000,- -,-1000000,-100000,-263000,-248000,2110000,-463000,-1324000,-609000,-1331000,-4083000,-2571000,-177000,1305000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-58
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,839000,703000,505000,779000,959000,978000,824000,338000,423000,58000,85000,83000,84
77,Change in Working Capital,7520000,- -,- -,25400000,9300000,6200000,2000000,-400000,3700000,-4700000,2900000,-5900000,15300000,-2600000,11700000,1600000,24000000,2700000,-19200000,19900000,5159000,-9759000,-34500000,-6800000,26300000,-16200000,-26687000,-1019000,-4744000,-7862000,-8722000,-3444000,8870000,-519000
78,Accounts Receivable,- -,- -,- -,- -,-4600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6576000,5409000,-364000,224000,-1974000,-488000,-1072000,3433000,346000,- -,- -,- -,46
79,Inventory,- -,- -,- -,- -,1100000,-4200000,-2200000,-300000,-100000,-5500000,-800000,2900000,-10842000,4600000,-4636000,-480000,-19020000,3697000,10597000,1278000,10742000,8042000,11530000,-5389000,-3976000,1394000,-315000,3282000,-2017000,-280000,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,397000,-2517000,847000,-1652000,-574000,-634000,-542000,233000,3578000,29000,-22000,-4000,7
