,https://roic.ai/company/TTEK,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,2300000,3000000,4300000,5700000,7600000,10100000,14300000,20600000,29100000,40400000,30825000,29300000,-65300000,23700000,-99500000,36600000,46353000,60900000,87000000,76800000,90000000,104380000,-2100000,108300000,39074000,83783000,117874000,136883000,158668000,173859000,232810000
74,Depreciation and Amortization,900000,800000,1100000,1400000,1900000,3600000,4500000,6600000,12700000,13709000,21362000,23354000,16727000,18500000,16321000,12696000,13723000,18639000,27256000,33491000,55684000,56902000,62605000,54540000,44201000,45588000,45756000,38636000,28844000,24611000,23805000
75,Deferred Income Tax,-500000,100000,-300000,100000,-300000,-500000,1500000,-2900000,-200000,723000,-1172000,19997000,9435000,-11932000,-19542000,6434000,-1785000,10662000,-3772000,11641000,1720000,-5512000,-11468000,-145000,8412000,6051000,-9957000,-29360000,-37615000,565000,-38494000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9392000,10178000,10582000,10839000,8775000,10374000,10926000,12964000,13450000,19582000,17618000,19424000,23067000
77,Change in Working Capital,-1000000,10400000,4400000,1100000,15100000,-7200000,9900000,34400000,9300000,68000000,38691000,6709000,-38900000,-15900000,-23300000,28700000,44075000,37825000,-8500000,153800000,-70100000,48119000,32981000,6200000,-21367000,81009000,50013000,-72068000,-122449000,-103509000,71062000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156174000,-23161000,2046000,-39960000,87367000,-32020000,40345000,9062000,-64781000,-46273000,-10226000,154748000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-104268000,-10002000,-34013000,-14529000,-34191000,31772000,-26901000,-3002000,18597000,-16032000,39011000,-102162000,13551000
81,Other Working Capital,8900000,19300000,23700000,24800000,39900000,32700000,42600000,77000000,86300000,154300000,192991000,199700000,160800000,144900000,121600000,150300000,194375000,232200000,223700000,377500000,307400000,355519000,388500000,394700000,373333000,454342000,504355000,432287000,309838000,206329000,31922000
82,Other Non-Cash Items,-100000,-11800000,-4100000,2800000,-10700000,15100000,-29100000,-65300000,-20600000,-135020000,-45432000,15851000,144804000,1832000,174516000,-27052000,-55690000,-59646000,86872000,-179096000,43737000,-56707000,46957000,-51893000,81601000,-87375000,-79144000,83189000,163447000,147529000,-7878000
83,Cash Provided by Operating Activities,1600000,2500000,5400000,11100000,13600000,21100000,1100000,-6600000,30300000,-12188000,44274000,95211000,66766000,16200000,48495000,57378000,46676000,68380000,198248000,106814000,131623000,158021000,137750000,127376000,162847000,142020000,137992000,176862000,208513000,262479000,304372000
84,CAPEX,-700000,-1100000,-1200000,-1400000,-1500000,-2400000,-2600000,-41300000,-57700000,-14745000,-11017000,-7165000,-8419000,-17892000,-9791000,-11546000,-13141000,-17768000,-19803000,-21584000,-18901000,-25106000,-27545000,-19404000,-24296000,-11945000,-9741000,-9726000,-16198000,-12245000,-8573000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27515000,-40165000,-45079000,-87233000,-28853000,-8374000,-1995000,-31343000,-77771000,-114743000,-78905000,-269996000,-55014000,-171349000,-30251000,-11680000,-82627000,-8124000,-68256000,-84159000,-68488000,-84911000
86,Purchases of Investments,- -,- -,- -,- -,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4746000,-4622000,-4177000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,3200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3923000,3906000,3907000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-7100000,-35400000,-6400000,-1200000,- -,- -,- -,- -,- -,1456000,2046000,1480000,5820000,4797000,5703000,-18556000,-18456000,-23022000,-24069000,-24986000,-10910000,-9340000,-11388000,-8836000,25622000,-15547000,5465000,-8081000
