,https://roic.ai/company/ZBH,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,1900000,2000000,2400000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2600000,2600000,2700000,3000000,3100000,3100000,3100000,3100000,3100000,- -
64,Retained Earnings,- -,- -,- -,- -,55600000,313400000,659700000,1201500000,1934000000,2768500000,3536900000,4385500000,5102500000,5699400000,6426800000,7085900000,7712700000,8285200000,8347700000,8467100000,10022800000,9491200000,10427300000,10086900000,- -
65,Other Comprehensive Income/Loss,- -,- -,782000000,- -,-207900000,14000000,138700000,253300000,149300000,209200000,290300000,240000000,358600000,321000000,271400000,343900000,367100000,85900000,-329000000,-434000000,-83200000,-187400000,-241900000,-297800000,-231000
66,Other Total Stockholders Equity,- -,- -,- -,261000000,229100000,36900000,2342500000,2485200000,2597000000,1940300000,1619900000,1022300000,175100000,-251600000,-1193500000,-1571500000,-1785100000,-1853000000,1866200000,1632700000,1793100000,1964400000,2199600000,2402000000,- -
67,Total Stockholders Equity,- -,- -,391000000,261000000,78700000,366300000,3143300000,3942500000,4682800000,4920500000,5449600000,5650300000,5638700000,5771300000,5507200000,5860900000,6297300000,6520800000,9887900000,9668900000,11735800000,11271300000,12388100000,12194200000,12666400000
68,Total Liabilities And Stockholders Equity,- -,- -,606000000,597400000,745000000,858900000,5149000000,5688400000,5719600000,5971700000,6630900000,7235400000,7785500000,7999900000,8507700000,9007000000,9577800000,9632900000,27218000000,26683400000,25964800000,24122000000,24634000000,24412500000,23456400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,7000000,7100000,2300000,2700000,2800000,3600000,- -,- -,7600000,5400000,2800000,1800000,1500000,1000000,-300000,4800000,4700000,5200000,- -
70,Total Liabilities & Equity,- -,- -,606000000,597400000,745000000,858900000,5156000000,5695500000,5721900000,5974400000,6633700000,7239000000,7785500000,7999900000,8515300000,9012400000,9580600000,9634700000,27219500000,26684400000,25964500000,24126800000,24638700000,24417700000,23456400000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1136869/000095013702001247/c67231e10-k405.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095013703001382/c75212e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095013704001881/c83286e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095013705002914/c92811e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095013706002478/c02799e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095013707002904/c12593e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095013708003099/c23011e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095015209001918/c48761e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095012310017177/c55340e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095012311018592/c61394e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136869/000119312512078626/d263321d10k.htm,https://www.sec.gov/Archives/edgar/data/1136869/000119312513079914/d458588d10k.htm,https://www.sec.gov/Archives/edgar/data/1136869/000119312514076641/d649455d10k.htm,https://www.sec.gov/Archives/edgar/data/1136869/000119312515058361/d842425d10k.htm,https://www.sec.gov/Archives/edgar/data/1136869/000119312516485039/d112646d10k.htm,https://www.sec.gov/Archives/edgar/data/1136869/000119312517065632/d285470d10k.htm,https://www.sec.gov/Archives/edgar/data/1136869/000156459018003549/zbh-10k_20171231.htm,https://www.sec.gov/Archives/edgar/data/1136869/000156459019004283/zbh-10k_20181231.htm,https://www.sec.gov/Archives/edgar/data/1136869/000156459020005657/zbh-10k_20191231.htm,https://www.sec.gov/Archives/edgar/data/1136869/000156459021007163/0001564590-21-007163-index.htm,https://www.sec.gov/Archives/edgar/data/1136869/000156459022007160/0001564590-22-007160-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,145000000,150000000,176000000,149800000,257800000,346300000,541800000,732500000,834500000,773200000,848600000,717400000,596900000,760800000,755000000,761000000,720100000,147000000,305900000,1813800000,-379200000,1131600000,-138900000,401600000
74,Depreciation and Amortization,- -,26000000,22000000,23100000,23400000,25300000,103300000,181300000,185700000,197400000,230000000,275100000,337400000,340200000,359900000,363100000,358500000,375800000,712400000,1039300000,1062700000,1040500000,1006100000,1032700000,1067400000
75,Deferred Income Tax,- -,- -,- -,7800000,- -,- -,- -,- -,- -,- -,63900000,2000000,-19700000,-72500000,-6800000,-64800000,-126200000,-84200000,-164000000,-153200000,-1776000000,13400000,-538700000,12000000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69900000,75300000,62000000,60500000,55000000,48500000,49400000,46400000,57300000,53700000,65500000,84300000,79700000,85300000
77,Change in Working Capital,- -,28000000,17500000,-97000000,76100000,481800000,166500000,108800000,149300000,216100000,73400000,639800000,259900000,102300000,433200000,323400000,84900000,994000000,-1962900000,-787000000,511000000,-723700000,1244000000,2358600000,-237000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,-2100000,-50200000,-59700000,-53000000,-44700000,-79200000,-39200000,-58000000,-148100000,36200000,25800000,7200000,-67500000,-128400000,-154100000,-205400000,76400000,-122800000,-199500000,-125200000,-40800000,18800000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47800000,38300000,120100000,-263100000,28700000,-148200000,155900000,-42000000,-95100000,- -
81,Other Working Capital,- -,215000000,232500000,135500000,211600000,693400000,859900000,968700000,1118000000,1334100000,1407500000,2047300000,2307200000,2409500000,2842700000,3166100000,3251000000,4245000000,2282100000,1495100000,2006100000,1282400000,2526400000,4885000000,-317100000
82,Other Non-Cash Items,- -,- -,-9500000,122500000,-77500000,-544700000,-121300000,30300000,-189300000,-207300000,-56100000,-797300000,-252800000,164600000,-430700000,-279800000,-163600000,-1002300000,2037800000,1169900000,-82900000,1730900000,-1341500000,-2139600000,181900000
83,Cash Provided by Operating Activities,- -,199000000,180000000,232400000,171800000,220200000,494800000,862200000,878200000,1040700000,1084400000,1038100000,1117500000,1193500000,1176900000,1151900000,963100000,1052800000,816700000,1632200000,1582300000,1747400000,1585800000,1204500000,1499200000
84,CAPEX,- -,-20000000,-33000000,-29000000,-54700000,-33700000,-158500000,-100800000,-105300000,-268300000,-331200000,-597300000,-264600000,-280200000,-288100000,-115600000,-100000000,-144900000,-167700000,-184700000,-156000000,-162700000,-404700000,-117900000,-172000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-927700000,-171300000,-44100000,-28100000,-160300000,-363000000,- -,-82600000,-56800000,-59000000,-74200000,-54300000,-7760100000,-1443000000,-4000000,-15300000,-37100000,-235500000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-150000000,- -,- -,- -,-116600000,-431600000,-674300000,-1279000000,-925600000,-1548300000,-481200000,-347000000,-337000000,-276300000,-315900000,-291700000,-301800000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54900000,- -,67500000,394800000,878500000,830800000,1282200000,802900000,286200000,- -,69200000,48100000,53500000,1900000
88,Other Investing Activites,- -,- -,- -,- -,- -,-2000000,-16500000,-116200000,-11700000,9400000,- -,-128200000,-35800000,-8500000,-18900000,-17900000,-13500000,-4100000,48200000,-3000000,-13800000,-31500000,-217300000,-22600000,-31700000
89,Cash Used for Investing Activites,- -,-20000000,-33000000,-29000000,-54700000,-35700000,-1102700000,-388300000,-311100000,-287000000,-491500000,-924200000,-381200000,-726900000,-624400000,-592100000,-282500000,-469400000,-7557900000,-1691500000,-510800000,-416600000,-729300000,-613800000,-503600000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-338500000,- -,-4000000,-50100000,-97500000,2300000,-3239900000,-2083100000,-1840000000,-2978900000,-1465300000,-1750000000,-2654800000
91,Common Stock Issued,- -,- -,- -,- -,1400000,23900000,70500000,65000000,76700000,41300000,149800000,- -,9500000,16900000,43400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-4100000,-798800000,-576300000,-737000000,-923700000,-505600000,-1050000000,-485600000,-719000000,-400500000,-150000000,-415500000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-290000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-94400000,-132400000,-145500000,-157100000,-188400000,-193600000,-195200000,-196700000,-198500000,-200100000
94,Other Financing Activites,- -,-179000000,-147000000,-203400000,189500000,-212800000,594300000,-467000000,-557200000,26800000,27000000,393500000,990600000,-900000,554800000,193600000,481600000,-18700000,10686800000,1943800000,823100000,1871900000,882100000,1526700000,1548900000
95,Cash Used/Provided by Financing Activities,- -,-179000000,-147000000,-203400000,-99100000,-188900000,664800000,-402000000,-484600000,-730700000,-399500000,-343500000,-262100000,-489600000,-455800000,-436500000,-467300000,-562400000,7139800000,-743200000,-1210500000,-1302200000,-779900000,-421800000,-1306000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,400000,1700000,4900000,5200000,-3900000,9500000,4800000,-21700000,4900000,200000,2700000,-7300000,-17000000,-18300000,-22600000,-22700000,29300000,-10200000,-1500000,15300000,-13200000
97,Net Change In Cash,- -,- -,- -,- -,- -,-2700000,61800000,77100000,78600000,32500000,198200000,-251300000,479100000,-22800000,99400000,116000000,196300000,2700000,376000000,-825200000,-109700000,18400000,75100000,184200000,-323600000
98,Cash at the End of Period,- -,542800000,- -,- -,18400000,15700000,77500000,154600000,233200000,265700000,463900000,212600000,691700000,668900000,768300000,884300000,1080600000,1083300000,1459300000,634100000,524400000,542800000,617900000,802100000,478500000
99,Cash at the Beginning of Period,- -,542800000,- -,- -,- -,18400000,15700000,77500000,154600000,233200000,265700000,463900000,212600000,691700000,668900000,768300000,884300000,1080600000,1083300000,1459300000,634100000,524400000,542800000,617900000,802100000
100,Free Cash Flow,- -,179000000,147000000,203400000,117100000,186500000,336300000,761400000,772900000,772400000,753200000,440800000,852900000,913300000,888800000,1036300000,863100000,907900000,649000000,1447500000,1426300000,1584700000,1181100000,1086600000,1327200000
