,https://roic.ai/company/AXTI,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,634000,766000,655000,896000,1215000,1277000,1129000,1349000,1096000,1405000,1925000,2346000,2623000,- -
77,Change in Working Capital,-14500000,-638000,99925000,-23191000,-57778000,-2083000,-11474000,-9514000,30012000,8991000,-8514000,3845000,11435000,10104000,1156000,-9262000,4308000,-4375000,10189000,23691000,-18096000,-14152000,39764000,-13080000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,805000,-3880000,-7726000,5165000,54000,2160000,-2959000,-1076000,3465000,-7977000,2819000,441000,-5333000,- -
79,Inventory,-12200000,-10170000,-18220000,-3741000,17989000,11541000,7621000,306000,-4107000,-4269000,-10047000,7352000,-8288000,-9839000,5659000,1439000,479000,-45000,-2959000,-4740000,-14629000,8862000,-916000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2162000,-1079000,1530000,-3840000,2608000,2185000,-979000,-485000,524000,4401000,2314000,-3137000,2305000,- -
81,Other Working Capital,41100000,40462000,140387000,117196000,59418000,57335000,45861000,36347000,66359000,75350000,66836000,70681000,82116000,92220000,93376000,84114000,88422000,84047000,94236000,117927000,99831000,85679000,125443000,112363000
82,Other Non-Cash Items,100000,-14351000,-130959000,41510000,127255000,28799000,19591000,10046000,-43765000,-14381000,658000,-1106000,-22650000,-16598000,11894000,12982000,-5864000,1638000,-9282000,-31051000,4864000,21533000,-44093000,-1495000
83,Cash Provided by Operating Activities,-6300000,-7844000,3696000,17144000,725000,6269000,-340000,-7746000,-10263000,1320000,-5717000,4665000,11009000,18132000,21302000,2509000,3824000,1878000,12504000,8615000,3218000,12658000,5865000,- -
84,CAPEX,-16400000,-7527000,-26278000,-25834000,-14238000,-2175000,-2139000,-2329000,-4458000,-3706000,-6788000,-1963000,-6386000,-13102000,-7079000,-5424000,-1971000,-4150000,-2728000,-21356000,-40539000,-21792000,-19855000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3024000,- -,- -,- -,-162000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-21591000,-17869000,-5941000,-25876000,-10227000,-27346000,-36105000,-22624000,-3012000,- -,-13951000,-12116000,-14092000,-11828000,-12949000,-11936000,-30021000,-9937000,-8725000,-5968000,- -
87,Sales/Maturities of Investments,- -,- -,- -,1034000,17070000,13885000,19072000,24341000,15522000,35785000,24495000,3897000,20086000,16179000,6900000,12486000,13928000,14309000,13516000,14750000,19550000,22189000,9401000,- -
88,Other Investing Activites,- -,- -,206000,-1307000,-1000000,7954000,1097000,2101000,473000,512000,8749000,3443000,-18972000,-1532000,-873000,818000,13000,469000,35000,169000,99000,- -,- -,-38810000
89,Cash Used for Investing Activites,-16400000,-7527000,-26072000,-47698000,-16037000,13723000,-7846000,13886000,-15809000,-3514000,3832000,2365000,-5272000,-15430000,-13168000,-6212000,142000,-2483000,-1113000,-36458000,-30827000,-8328000,-16422000,-38810000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6706000,-3086000,-496000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5996000,- -
91,Common Stock Issued,25900000,1074000,96005000,4762000,850000,480000,270000,64000,24679000,4516000,171000,351000,- -,- -,- -,- -,- -,- -,- -,34338000,628000,- -,47563000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-246000,- -,- -,- -,- -,- -,- -,- -,-716000,- -,-2287000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-957000,-527000,-1636000,- -,- -,- -,- -,- -,- -,- -,- -,-2238000,- -
94,Other Financing Activites,9600000,3972000,-11139000,-5284000,-8966000,-10127000,-4486000,-610000,-431000,-592000,3013000,- -,1497000,637000,-3792000,-1797000,-32000,53000,1298000,1300000,-415000,6186000,13333000,5725000
95,Cash Used/Provided by Financing Activities,35500000,5046000,84866000,-522000,-8116000,-9647000,-4216000,-792000,24248000,3924000,-3522000,-3692000,474000,-999000,-3792000,-2513000,-32000,-2234000,1298000,35638000,213000,6186000,52662000,5725000
96,Effect of Forex Changes on Cash,200000,-51000,33000,29000,-313000,197000,180000,7000,468000,534000,593000,30000,579000,729000,136000,543000,-81000,-1100000,-1412000,405000,-430000,-150000,3605000,551000
97,Net Change In Cash,- -,-10376000,62523000,-31047000,-23741000,10542000,-12222000,5355000,-1356000,2264000,-4814000,3368000,6790000,2432000,4478000,-5673000,3853000,-3939000,11277000,8200000,-27826000,10366000,45710000,-35839000
98,Cash at the End of Period,- -,6062000,68585000,37538000,13797000,24339000,12117000,17472000,16116000,18380000,13566000,16934000,23724000,26156000,30634000,24961000,28814000,24875000,36152000,44352000,16526000,26892000,72602000,36763000
99,Cash at the Beginning of Period,3100000,16438000,6062000,68585000,37538000,13797000,24339000,12117000,17472000,16116000,18380000,13566000,16934000,23724000,26156000,30634000,24961000,28814000,24875000,36152000,44352000,16526000,26892000,72602000
100,Free Cash Flow,-22700000,-15371000,-22582000,-8690000,-13513000,4094000,-2479000,-10075000,-14721000,-2386000,-12505000,2702000,4623000,5030000,14223000,-2915000,1853000,-2272000,9776000,-12741000,-37321000,-9134000,-13990000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1051627/000089161802001428/0000891618-02-001428-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000089161803001360/0000891618-03-001360-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000089161804000813/0000891618-04-000813-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000110465905011968/0001104659-05-011968-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000110465906020548/0001104659-06-020548-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000110465907021885/0001104659-07-021885-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000104746908002766/0001047469-08-002766-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000104746909003513/0001047469-09-003513-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000104746910002549/0001047469-10-002549-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000114036111017021/0001140361-11-017021-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000114036112015825/0001140361-12-015825-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000114036113012640/0001140361-13-012640-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000114036114012780/0001140361-14-012780-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000156761915000258/0001567619-15-000258-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000155837016004062/0001558370-16-004062-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000155837017001073/0001558370-17-001073-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000155837018001801/0001558370-18-001801-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000155837019001765/0001558370-19-001765-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000155837020002561/0001558370-20-002561-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000155837021003377/0001558370-21-003377-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000155837022003664/0001558370-22-003664-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
