,https://roic.ai/company/PBH,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,-107784000,- -,- -,- -,- -,-32888000,-350250000,-51917000,-267000000,-205000000,-490500000,-188500000,-486100000,-967500000,-489000000,-245000000,-568476000,-866443000
91,Common Stock Issued,- -,- -,- -,- -,416832000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-4000,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49978000,-56721000,-11867000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,36491000,5526000,-14708000,271128000,-40085000,3168000,-35280000,-52132000,-16000,289419000,213164000,867434000,52883000,449347000,831765000,540136000,1529357000,280045000,45650000,493766000,598891000
95,Cash Used/Provided by Financing Activities,36491000,5526000,-14708000,163344000,376743000,3168000,-35290000,-52132000,-32904000,-60831000,161247000,600434000,-152117000,-41153000,643265000,54036000,561857000,-208955000,-249328000,-131431000,-279419000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,-54000,208000,-1275000,497000,-409000,1100000,-406000,-1893000,3597000
97,Net Change In Cash,36491000,5526000,-14708000,-137000,1941000,2866000,5558000,-7680000,29103000,5916000,-27763000,5681000,-3345000,12661000,-7013000,5912000,14625000,-9307000,-5018000,67230000,-62458000
98,Cash at the End of Period,- -,- -,- -,3393000,5334000,8200000,13758000,6078000,35181000,41097000,13334000,19015000,15670000,28331000,21318000,27230000,41855000,32548000,27530000,94760000,32302000
99,Cash at the Beginning of Period,- -,- -,- -,3530000,3393000,5334000,8200000,13758000,6078000,35181000,41097000,13334000,19015000,15670000,28331000,21318000,27230000,41855000,32548000,27530000,94760000
100,Free Cash Flow,1978000,3845000,12098000,5519000,50677000,30687000,71359000,44468000,66198000,58754000,86015000,66846000,127337000,108818000,150154000,170782000,144795000,197578000,178804000,199804000,213364000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1295947/000110465905030101/0001104659-05-030101-index.htm,https://www.sec.gov/Archives/edgar/data/1295947/000100579406000290/prestigejune92006.htm,https://www.sec.gov/Archives/edgar/data/1295947/000100579407000315/0001005794-07-000315-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000100579408000191/0001005794-08-000191-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000100579409000129/0001005794-09-000129-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000100579410000107/0001005794-10-000107-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594711000011/0001295947-11-000011-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594712000029/0001295947-12-000029-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594713000018/0001295947-13-000018-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594714000015/0001295947-14-000015-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594715000015/0001295947-15-000015-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594716000051/0001295947-16-000051-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594717000018/0001295947-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594718000013/0001295947-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594719000015/0001295947-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594720000018/0001295947-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594721000021/0001295947-21-000021-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
