,https://roic.ai/company/JEF,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1237100000,1317353000,1308717000,1534525000,2134161000,2258653000,3661914000,3893275000,5570492000,2676797000,4361647000,6956758000,6174396000,6767268000,10227462000,10427158000,10526211000,10253100000,10230957000,10060866000,9704705000,9528893000,10678755000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3070200000,3143637000,2577239000,2433269000,4379596000,3339446000,5244921000,5284842000,8105648000,5179899000,6749514000,9343675000,9259324000,9348751000,47796190000,52556044000,46275133000,44895758000,47136086000,47131095000,49438255000,53083720000,60352825000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108509000,17568000,- -,15963000,18982000,20974000,18594000,12850000,6623000,3865000,367000,70591000,67864000,64679000,175549000,33022000,-6134846000,21979000,34632000,51285000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3070200000,3143637000,2577239000,2541778000,4397164000,3339446000,5260884000,5303824000,8126622000,5198493000,6762364000,9350298000,9263189000,9349118000,47866781000,52623908000,46339812000,45071307000,47169108000,40996249000,49460234000,53118352000,60404110000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1084580/000095014801000473/0000950148-01-000473-index.html,https://www.sec.gov/Archives/edgar/data/1084580/000095014802000462/0000950148-02-000462-index.html,https://www.sec.gov/Archives/edgar/data/1084580/000095014803000639/0000950148-03-000639-index.html,https://www.sec.gov/Archives/edgar/data/1084580/000095012304002644/0000950123-04-002644-index.html,https://www.sec.gov/Archives/edgar/data/1084580/000095012905003057/0000950129-05-003057-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96223/000009622309000010/0000096223-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/96223/000009622310000004/0000096223-10-000004-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622311000005/0000096223-11-000005-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622312000009/0000096223-12-000009-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622313000013/0000096223-13-000013-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622314000006/0000096223-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622315000006/0000096223-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622316000049/0000096223-16-000049-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622317000009/0000096223-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622318000009/0000096223-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622319000017/0000096223-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622320000008/0000096223-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622321000009/0000096223-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/96223/000009622322000006/0000096223-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,64300000,47300000,94900000,130600000,245500000,70800000,107500000,48700000,661800000,54300000,215000000,116008000,-7508000,161623000,97054000,145500000,1636041000,189399000,484294000,-2535425000,550280000,1939312000,25231000,854466000,372637000,208368000,283650000,130001000,171726000,158761000,964696000,775239000,1674352000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,226080000,189496000,24000000,42443000,72283000,86377000,104730000,95233000,170113000,138964000,139744000,172073000,166789000,164039000,105156000,129766000,142394000,151169000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,35300000,20400000,22300000,14100000,-7000000,7600000,40700000,43130000,-64087000,-28048000,-23847000,-1604000,-1135100000,99990000,-567864000,1672063000,19612000,-1166417000,22424000,484974000,70047000,126885000,134016000,118631000,712055000,236406000,-538192000,64667000,96890000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12183000,11106000,4260000,23264000,14459000,87309000,109838000,74087000,33597000,48384000,48249000,49848000,40038000,78160000
