,https://roic.ai/company/REX,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
67,Total Stockholders Equity,71600000,79100000,67200000,66800000,25400000,23600000,24700000,29500000,55600000,89400000,102300000,102700000,105800000,110200000,159837000,131194000,147973000,159104000,183932000,208554000,214205000,230789000,256591000,239060000,246623000,244932000,252511000,246352000,279281000,349971000,311263000,340435000,381492000,392937000,401007000,384783000,430792000
68,Total Liabilities And Stockholders Equity,104700000,114100000,103300000,124600000,58100000,65700000,71100000,88600000,132300000,192600000,234600000,248000000,260500000,268300000,304036000,310885000,307329000,310922000,313411000,310951000,293868000,323765000,381249000,426715000,423032000,350690000,408717000,377399000,396396000,413954000,370189000,406185000,428430000,419059000,447903000,426945000,443108000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11443000,27729000,24573000,28473000,25032000,29332000,27931000,31472000,42993000,44496000,47839000,50434000,52334000,52599000,52400000,107253000
70,Total Liabilities & Equity,104700000,114100000,103300000,124600000,58100000,65700000,71100000,88600000,132300000,192600000,234600000,248000000,260500000,268300000,304036000,310885000,307329000,310922000,313411000,310951000,293868000,335208000,408978000,451288000,451505000,375722000,438049000,405330000,427868000,456947000,414685000,454024000,478864000,471393000,500502000,479345000,550361000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/744187/000074418796000001/0000744187-96-000001-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/744187/000095011702000900/0000950117-02-000900-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/744187/000095011706001735/a41777.htm,https://www.sec.gov/Archives/edgar/data/744187/000093041307003503/0000930413-07-003503-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041308002363/0000930413-08-002363-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041309002072/0000930413-09-002072-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041310001955/0000930413-10-001955-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041311002755/0000930413-11-002755-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041312002109/c69053_10k.htm,https://www.sec.gov/Archives/edgar/data/744187/000093041313002135/0000930413-13-002135-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041314001685/0000930413-14-001685-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041315001585/c80752_10k.htm,https://www.sec.gov/Archives/edgar/data/744187/000093041316006190/0000930413-16-006190-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041317001219/0000930413-17-001219-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041318001149/0000930413-18-001149-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041319001085/0000930413-19-001085-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041320000944/0000930413-20-000944-index.html,https://www.sec.gov/Archives/edgar/data/744187/000093041321000765/0000930413-21-000765-index.htm,https://www.sec.gov/Archives/edgar/data/744187/000093041322000653/0000930413-22-000653-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-2200000,2900000,3000000,4800000,8600000,12600000,14600000,7400000,7400000,11200000,18293000,18736000,22309000,22932000,27440000,27549000,28269000,11351000,33867000,-3297000,8652000,5069000,28270000,-2295000,35073000,87337000,31436000,32333000,39706000,31645000,7427000,3001000,61202000
74,Depreciation and Amortization,- -,- -,- -,- -,1000000,300000,200000,700000,1100000,1600000,2400000,2900000,3000000,3200000,3469000,3917000,4198000,4325000,3994000,4158000,4645000,4190000,2428000,5061000,10603000,17943000,12086000,16602000,17284000,16787000,18639000,19519000,21462000,24828000,29311000,26264000,23591000
75,Deferred Income Tax,- -,- -,- -,- -,-7200000,500000,-400000,-900000,1800000,- -,4400000,3200000,-1000000,-100000,-770000,-688000,-574000,3514000,-6928000,-15559000,-485000,3955000,2909000,601000,12958000,3803000,10685000,-504000,15987000,22473000,-4196000,3043000,-18605000,-23364000,-11070000,-7949000,12730000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,234000,- -,- -,- -,- -,- -,64000,1314000,1641000,669000,397000,264000,1753000
