,https://roic.ai/company/SLGN,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,-27900000,-397118000,-41400000,4500000,1800000,2500000,1789000,3901000,1915000,3739000,9983000,3154000,1457000,3917000,-121170000,-96692000,-103824000,-169066000,-117686000,-94747000,-139156000,-236399000,-180338000,-173829000,-189922000,-230090000,-222309000,-230300000
89,Cash Used for Investing Activites,-27900000,-397118000,-98300000,-100500000,-278300000,-84900000,-218479000,-59792000,-117245000,-309966000,-92885000,-85978000,-438446000,-158875000,-135712000,-96692000,-151770000,-459817000,-436776000,-376414000,-156870000,-237089000,-180338000,-1197677000,-189922000,-230090000,-1163184000,-976000000
90,Debt Repayment,-20464000,-234506000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-949605000,-682534000,-834243000,-1914111000,-976345000,-1225918000,-1560399000,-767147000,-864518000,-2071795000,-1277206000,-1651712000,-1820690000,- -
91,Common Stock Issued,- -,- -,50000000,67200000,2300000,500000,512000,1028000,4303000,647000,2262000,3853000,3232000,1688000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-35800000,- -,-43400000,-16600000,-1075000,- -,- -,- -,- -,- -,- -,-697000,-902000,-1112000,-249296000,-20994000,-34109000,-267607000,-24666000,-170132000,-277306000,- -,-4800000,-12100000,-35900000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8282000,-14859000,-18042000,-24289000,-26003000,-29352000,-31957000,-31109000,-33790000,-36202000,-38624000,-39741000,-40877000,-40493000,-44549000,-50840000,-53643000,-62500000
94,Other Financing Activites,3489000,421415000,-42100000,-31900000,123100000,-44600000,141559000,-86283000,-10042000,28195000,-155517000,-127086000,228118000,-18332000,833881000,629664000,949423000,2288324000,1197865000,1250291000,1497699000,756057000,893233000,2949043000,1032945000,1569127000,2670093000,711100000
95,Cash Used/Provided by Financing Activities,-16975000,186909000,-27900000,35300000,82000000,-60700000,140996000,-85255000,-5739000,28842000,-161537000,-138092000,213308000,-41630000,-142629000,-83334000,-166073000,322110000,153621000,-279436000,-125990000,-220963000,-289468000,836755000,-293610000,-145525000,759860000,648600000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3702000,-735000,6474000,-7500000
97,Net Change In Cash,2458000,-580000,-27900000,35300000,82000000,-2400000,17662000,-2064000,40309000,-46218000,23316000,-14955000,-3724000,79204000,67065000,142748000,-130528000,221875000,68507000,-305145000,62128000,-122646000,-75255000,28843000,19286000,131005000,205657000,221900000
98,Cash at the End of Period,2682000,2102000,- -,- -,- -,2400000,20073000,18009000,58318000,12100000,35416000,20461000,16737000,95941000,163006000,305754000,175226000,397101000,465608000,160463000,222591000,99945000,24690000,53533000,72819000,203824000,409481000,631400000
99,Cash at the Beginning of Period,224000,2682000,2100000,1000000,53700000,4800000,2411000,20073000,18009000,58318000,12100000,35416000,20461000,16737000,95941000,163006000,305754000,175226000,397101000,465608000,160463000,222591000,99945000,24690000,53533000,72819000,203824000,409500000
100,Free Cash Flow,18149000,157732000,68300000,12900000,-132700000,55900000,5918000,49941000,44133000,128994000,174870000,119983000,-96817000,124763000,222504000,223190000,81920000,186573000,232421000,247569000,204559000,98104000,202658000,215336000,315547000,276411000,378330000,324500000
