,https://roic.ai/company/BMI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
61,Total Liabilities,15900000,19400000,19400000,17800000,20800000,22500000,21900000,29000000,31500000,32600000,28300000,29500000,40800000,49100000,60100000,55391000,55834000,78368000,78680000,78895000,72451000,67564000,58332000,84335000,46555000,47481000,39629000,119206000,119495000,126827000,123205000,93490000,114275000,89188000,90825000,107121000,127748000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4500000,4610000,4677000,4762000,4846000,9872000,10056000,20553000,20902000,21074000,21210000,21259000,21292000,20441000,20504000,20523000,20551000,37122000,37165000,37198000,37200000,37221000,37221000
64,Retained Earnings,17600000,18100000,19100000,20400000,21900000,23300000,23900000,19000000,20100000,22200000,24600000,28200000,33100000,39200000,46400000,50536000,50736000,54776000,58928000,64928000,74258000,77479000,89061000,107887000,135225000,156101000,166271000,155694000,170318000,189365000,204044000,223876000,244224000,257313000,285879000,314850000,353535000
65,Other Comprehensive Income/Loss,-22500000,-23900000,-25400000,-26500000,-27200000,-29000000,-29600000,-32400000,-34000000,-36300000,-37700000,-37800000,-40400000,-42500000,-45600000,-47122000,-50319000,-1535000,-1285000,959000,-1356000,-12785000,-9873000,-17331000,-14585000,-13137000,-14566000,-13948000,-7524000,-11856000,-12780000,-11635000,-10893000,580000,425000,1313000,136000
66,Other Total Stockholders Equity,25000000,26500000,28400000,30100000,31200000,33900000,35000000,38300000,40000000,43500000,45300000,46200000,48800000,51100000,37700000,35295000,37908000,-9908000,-7318000,-11693000,-9542000,-13428000,-8121000,-607000,2611000,4160000,6284000,9060000,13265000,16299000,20460000,6846000,6956000,8412000,7564000,7875000,- -
67,Total Stockholders Equity,20100000,20700000,22100000,24000000,25900000,28200000,29300000,24900000,26100000,29400000,32200000,36600000,41500000,47800000,43000000,43319000,43002000,48095000,55171000,64066000,73416000,71819000,91969000,111023000,144461000,168383000,179281000,171247000,196563000,214331000,232275000,256209000,277452000,303503000,331068000,361259000,403070000
68,Total Liabilities And Stockholders Equity,36000000,40100000,41500000,41800000,46700000,50700000,51200000,53900000,57600000,62000000,60500000,66100000,82300000,96900000,103100000,98710000,98836000,126463000,133851000,142961000,145867000,139383000,150301000,195358000,191016000,215864000,218910000,290453000,316058000,341158000,355480000,349699000,391727000,392691000,421893000,468380000,530818000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,36000000,40100000,41500000,41800000,46700000,50700000,51200000,53900000,57600000,62000000,60500000,66100000,82300000,96900000,103100000,98710000,98836000,126463000,133851000,142961000,145867000,139383000,150301000,195358000,191016000,215864000,218910000,290453000,316058000,341158000,355480000,349699000,391727000,392691000,421893000,468380000,530818000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/9092/000095013706002572/c02859e10vk.htm,https://www.sec.gov/Archives/edgar/data/9092/000095013707003342/c12844e10vk.htm,https://www.sec.gov/Archives/edgar/data/9092/000095013708002959/c24212e10vk.htm,https://www.sec.gov/Archives/edgar/data/9092/000095013709001491/0000950137-09-001491-index.html,https://www.sec.gov/Archives/edgar/data/9092/000095012310015763/0000950123-10-015763-index.html,https://www.sec.gov/Archives/edgar/data/9092/000095012311019728/c62456e10vk.htm,https://www.sec.gov/Archives/edgar/data/9092/000119312512103471/0001193125-12-103471-index.html,https://www.sec.gov/Archives/edgar/data/9092/000000909213000004/0000009092-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/9092/000000909214000004/bmi-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/9092/000000909215000002/bmi-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/9092/000000909216000015/0000009092-16-000015-index.html,https://www.sec.gov/Archives/edgar/data/9092/000000909217000002/0000009092-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/9092/000000909218000002/0000009092-18-000002-index.html,https://www.sec.gov/Archives/edgar/data/9092/000156459019004479/0001564590-19-004479-index.html,https://www.sec.gov/Archives/edgar/data/9092/000156459020005707/0001564590-20-005707-index.html,https://www.sec.gov/Archives/edgar/data/9092/000156459021008150/0001564590-21-008150-index.htm,https://www.sec.gov/Archives/edgar/data/9092/000156459022006284/0001564590-22-006284-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,2400000,2300000,1600000,-3900000,2200000,3200000,3700000,5100000,6500000,8200000,9700000,6941000,3364000,7271000,7577000,9633000,13253000,7548000,16457000,25084000,34170000,28662000,19161000,28032000,24617000,29678000,25938000,32295000,34571000,27790000,47177000,49343000,60884000
74,Depreciation and Amortization,- -,- -,- -,- -,3200000,3800000,4000000,4100000,4300000,4400000,4400000,4100000,4000000,4700000,5700000,6073000,6801000,7980000,7832000,7245000,6359000,7007000,6467000,7051000,8158000,8459000,9491000,12054000,13494000,15664000,20599000,22442000,24398000,24315000,24146000,25216000,27862000
75,Deferred Income Tax,- -,- -,- -,- -,200000,100000,100000,-3400000,-400000,-300000,-200000,300000,-1000000,-700000,700000,817000,1347000,1986000,323000,1483000,-318000,-2081000,-1149000,-1489000,5169000,1981000,-800000,-551000,1462000,-1334000,-3023000,710000,-4100000,-5269000,-1524000,-3082000,-3055000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1172000,1365000,1470000,1266000,1388000,1449000,1541000,1537000,1725000,4174000,1214000,1415000,2330000
77,Change in Working Capital,- -,- -,- -,- -,-2300000,4600000,-8000000,-600000,2300000,2500000,1600000,1400000,-3800000,-3000000,400000,-4378000,13760000,-13757000,19121000,189000,6843000,670000,5077000,-2985000,24679000,4239000,14124000,-51488000,1828000,4908000,10754000,30390000,-9660000,39130000,38203000,12805000,-277000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-1000000,200000,-500000,-600000,-3300000,-500000,2600000,-1700000,-4100000,-800000,3400000,-1316000,-1852000,-344000,-4152000,-5622000,2691000,-1531000,241000,-5577000,7015000,-14886000,42000,-4743000,247000,-6943000,-7116000,955000,-6167000,4859000,-1220000,5129000,-13633000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
