,https://roic.ai/company/LOGI,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-45000000,-42077000,-43891000,-28211000,-40158000,-19483000,-80881000,-72641000,-78518000,-95929000,-92075000,-85802000,-113237000,-111985000,-100706000,-93455000,-105698000,-120660000,-108915000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,73958000,30400000,-47983000,-85741000,-144294000,- -,-296511000,- -,-264081000,-343830000,-179921000,-116470000,-88951000,-121791000,-147441000,-118452000,- -,-110799000,-150022000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,365562000,457080000,526149000,685176000,844524000,960044000,997708000,999715000,1205001000,1150241000,733704000,804128000,758134000,759948000,856111000,1050557000,1176339000,1489268000,2261789000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,738302000,865916000,1018872000,1057064000,1327463000,1526932000,1421508000,1599678000,1861601000,1856541000,1374104000,1451428000,1426680000,1324147000,1498677000,1743157000,2024124000,2363474000,4142378000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40042000,-8000,- -,-1000,-41000,-4000,-28000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,738302000,865916000,1018872000,1057064000,1327463000,1486890000,1421500000,1599678000,1861600000,1856500000,1374100000,1451400000,1426680000,1324147000,1498677000,1743157000,2024124000,2363474000,4142378000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1032975/000120677409001138/0001206774-09-001138-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1032975/000119312511153485/0001193125-11-153485-index.htm,https://www.sec.gov/Archives/edgar/data/1032975/000104746912006385/0001047469-12-006385-index.htm,https://www.sec.gov/Archives/edgar/data/1032975/000104746913006614/0001047469-13-006614-index.htm,https://www.sec.gov/Archives/edgar/data/1032975/000104746914009167/0001047469-14-009167-index.htm,https://www.sec.gov/Archives/edgar/data/1032975/000103297515000023/0001032975-15-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1032975/000103297516000083/0001032975-16-000083-index.htm,https://www.sec.gov/Archives/edgar/data/1032975/000103297517000016/0001032975-17-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1032975/000103297518000016/0001032975-18-000016-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1032975/000103297520000015/0001032975-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1032975/000103297521000017/0001032975-21-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,8200000,21100000,15500000,7100000,30044000,45068000,74956000,98843000,132153000,149266000,181105000,229848000,231026000,107000000,64957000,128500000,71500000,-228100000,74300000,9283000,119317000,205876000,208542000,257573000,449723000,947257000
74,Depreciation and Amortization,10000000,11500000,13400000,15800000,20015000,22040000,31770000,30569000,31404000,32361000,34521000,40115000,49222000,52187000,70895000,75991000,72502000,67492000,66738000,49665000,52993000,50488000,56902000,67651000,73751000,82570000
75,Deferred Income Tax,500000,-3100000,-1200000,-1800000,-24000,593000,-376000,-387000,9338000,-3587000,-4870000,-9691000,-2138000,-10387000,-17895000,-8683000,137000,11552000,-4828000,2240000,6604000,-2397000,7141000,-12257000,-159853000,34484000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24503000,25807000,34846000,31529000,25198000,25546000,25825000,27351000,35890000,44138000,50265000,54870000,86019000
77,Change in Working Capital,-11100000,- -,- -,- -,- -,- -,- -,325701000,85207000,41755000,-44740000,134432000,180866000,-13821000,224889000,252300000,-29000000,-185400000,86900000,78913000,-45796000,9450000,76613000,-57005000,67717000,777134000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152496000,28489000,-54684000,29279000,44928000,-219000,-8018000,25513000,-46553000,-26363000,-58798000,-15768000,-201220000
79,Inventory,-10900000,-13200000,19900000,-32300000,-345000,-29411000,26040000,-32714000,-5307000,-35276000,-25425000,-11478000,-10230000,-9078000,30942000,-60482000,-36621000,25046000,49471000,-60510000,31966000,-15428000,16047000,-21551000,60388000,-427501000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-123802000,94155000,37714000,3622000,-36289000,-21322000,60413000,-58104000,24459000,17695000,-19134000,-24250000,553960000
